,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,147158,0.563181,,,,,
1,147158,0.563181,,,,,
2,183507,0.381268,,,,,
3,206679,0.273244,,,,,
4,215251,0.23755,,,,,
5,217165,0.230432,,,,,
6,217697,0.227867,,,,,
7,217772,0.227547,,,,,
8,217801,0.227461,,,,,
9,217875,0.227397,,,,,
10,217875,0.227397,,,,,
11,217875,0.227397,,,,,
12,217875,0.227397,,,,,
13,217875,0.227397,,,,,
14,217875,0.227397,,,,,
0,148429,,0.554931,,,,
1,148429,,0.554931,,,,
2,185213,,0.372633,,,,
3,208397,,0.264566,,,,
4,215472,,0.23646,,,,
5,217375,,0.229321,,,,
6,217771,,0.227803,,,,
7,217846,,0.227483,,,,
8,217875,,0.227397,,,,
9,217875,,0.227397,,,,
10,217875,,0.227397,,,,
11,217875,,0.227397,,,,
12,217875,,0.227397,,,,
13,217875,,0.227397,,,,
14,217875,,0.227397,,,,
0,148747,,,0.552708,,,
1,148747,,,0.552708,,,
2,185549,,,0.370389,,,
3,208857,,,0.262194,,,
4,215960,,,0.234044,,,
5,217492,,,0.228744,,,
6,217786,,,0.227739,,,
7,217854,,,0.22744,,,
8,217875,,,0.227397,,,
9,217875,,,0.227397,,,
10,217875,,,0.227397,,,
11,217875,,,0.227397,,,
12,217875,,,0.227397,,,
13,217875,,,0.227397,,,
14,217875,,,0.227397,,,
0,148747,,,,0.552708,,
1,148747,,,,0.552708,,
2,185549,,,,0.370389,,
3,208857,,,,0.262194,,
4,215960,,,,0.234044,,
5,217492,,,,0.228744,,
6,217786,,,,0.227739,,
7,217854,,,,0.22744,,
8,217875,,,,0.227397,,
9,217875,,,,0.227397,,
10,217875,,,,0.227397,,
11,217875,,,,0.227397,,
12,217875,,,,0.227397,,
13,217875,,,,0.227397,,
14,217875,,,,0.227397,,
0,196547,,,,,0.671013,
0,246245,,,,,,0.468324
