,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,145984,0.818166,,,,,
1,145984,0.818166,,,,,
2,146340,0.815559,,,,,
3,147676,0.810058,,,,,
4,158433,0.77207,,,,,
5,178161,0.71721,,,,,
6,225667,0.593464,,,,,
7,287366,0.456756,,,,,
8,362639,0.304839,,,,,
9,431951,0.180938,,,,,
10,484804,0.0962442,,,,,
11,521892,0.0416114,,,,,
12,541686,0.0155923,,,,,
13,550208,0.00504598,,,,,
14,553304,0.00149466,,,,,
0,232890,,0.570458,,,,
1,232890,,0.570458,,,,
2,233303,,0.567433,,,,
3,234701,,0.561634,,,,
4,238237,,0.5522,,,,
5,258137,,0.496909,,,,
6,289740,,0.425345,,,,
7,331461,,0.34504,,,,
8,377459,,0.268872,,,,
9,440763,,0.161065,,,,
10,489364,,0.0864034,,,,
11,523561,,0.0383112,,,,
12,541967,,0.0151738,,,,
13,550288,,0.00496227,,,,
14,553359,,0.00143487,,,,
0,405462,,,0.200595,,,
1,405462,,,0.200595,,,
2,405880,,,0.197487,,,
3,407284,,,0.191651,,,
4,410829,,,0.182193,,,
5,417617,,,0.168263,,,
6,429030,,,0.149466,,,
7,444244,,,0.128648,,,
8,461476,,,0.1085,,,
9,477668,,,0.0919157,,,
10,510493,,,0.0490727,,,
11,533690,,,0.0216188,,,
12,546784,,,0.00782007,,,
13,552020,,,0.0025469,,,
14,553972,,,0.000669608,,,
0,452457,,,,0.133635,,
1,452457,,,,0.133635,,
2,452871,,,,0.130526,,
3,454275,,,,0.124691,,
4,457827,,,,0.11522,,
5,464615,,,,0.10129,,
6,476028,,,,0.0824933,,
7,491242,,,,0.0616757,,
8,508474,,,,0.0415277,,
9,524662,,,,0.0249429,,
10,537507,,,,0.0132008,,
11,546579,,,,0.00578733,,
12,551930,,,,0.00182947,,
13,553741,,,,0.000609822,,
14,554451,,,,0.000143487,,
0,452478,,,,,0.134077,
0,554797,,,,,,0.000490249
