,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF,FST
0,185811,0.974356,,,,,
1,185811,0.974356,,,,,
2,193866,0.921262,,,,,
3,213780,0.838993,,,,,
4,288179,0.735515,,,,,
5,341076,0.624215,,,,,
6,413815,0.501376,,,,,
7,499962,0.382889,,,,,
8,594636,0.269741,,,,,
9,686742,0.174209,,,,,
10,765544,0.102616,,,,,
11,826073,0.0527656,,,,,
12,865220,0.0233647,,,,,
13,887096,0.00870529,,,,,
14,897472,0.00232004,,,,,
0,194836,,0.970743,,,,
1,194836,,0.970743,,,,
2,204056,,0.908656,,,,
3,226002,,0.818113,,,,
4,301079,,0.713013,,,,
5,355715,,0.597709,,,,
6,427964,,0.477703,,,,
7,512632,,0.363076,,,,
8,602912,,0.258531,,,,
9,693307,,0.166037,,,,
10,770755,,0.0967437,,,,
11,829126,,0.0497269,,,,
12,866972,,0.0217632,,,,
13,887740,,0.00821254,,,,
14,897770,,0.00211473,,,,
0,201476,,,0.962222,,,
1,201476,,,0.962222,,,
2,211275,,,0.896009,,,
3,271764,,,0.801359,,,
4,310014,,,0.694186,,,
5,363546,,,0.583193,,,
6,434361,,,0.467314,,,
7,517921,,,0.354967,,,
8,606988,,,0.252577,,,
9,695309,,,0.163594,,,
10,772045,,,0.095286,,,
11,829894,,,0.0488646,,,
12,867481,,,0.0211678,,,
13,887861,,,0.00808935,,,
14,897857,,,0.00201207,,,
0,202033,,,,0.961791,,
1,202033,,,,0.961791,,
2,211839,,,,0.895536,,
3,272348,,,,0.800784,,
4,310631,,,,0.693487,,
5,364219,,,,0.582372,,
6,435154,,,,0.466308,,
7,518748,,,,0.353858,,
8,607908,,,,0.251324,,
9,696277,,,,0.162259,,
10,772464,,,,0.0947317,,
11,830113,,,,0.0485772,,
12,867556,,,,0.0210652,,
13,887906,,,,0.00802776,,
14,897888,,,,0.00197101,,
0,211693,,,,,0.952511,
0,905455,,,,,,0.0227077
