,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,554769,0.0,,,,,
1,538187,0.398967,,,,,
2,441939,0.58805,,,,,
3,332638,0.680663,,,,,
4,218497,0.744312,,,,,
5,162056,0.788894,,,,,
6,149396,0.81006,,,,,
7,146793,0.816059,,,,,
8,146392,0.816487,,,,,
9,145984,0.816487,,,,,
10,145984,0.816487,,,,,
0,554769,,0.0,,,,
1,538187,,0.398967,,,,
2,508803,,0.40518,,,,
3,383488,,0.619564,,,,
4,326570,,0.662346,,,,
5,252256,,0.713548,,,,
6,236790,,0.735743,,,,
7,233781,,0.741399,,,,
8,233298,,0.741913,,,,
9,232890,,0.741913,,,,
10,232890,,0.741913,,,,
0,554769,,,0.0,,,
1,538187,,,0.398967,,,
2,510659,,,0.401174,,,
3,488503,,,0.405694,,,
4,468783,,,0.416899,,,
5,430861,,,0.458717,,,
6,407869,,,0.490317,,,
7,405895,,,0.494644,,,
8,405598,,,0.494816,,,
9,405462,,,0.494816,,,
10,405462,,,0.494816,,,
0,554769,,,,0.0,,
1,538187,,,,0.398967,,
2,510659,,,,0.401174,,
3,488503,,,,0.405694,,
4,468783,,,,0.416899,,
5,456689,,,,0.428467,,
6,453313,,,,0.433952,,
7,452638,,,,0.43558,,
8,452593,,,,0.435666,,
9,452457,,,,0.435666,,
10,452457,,,,0.435666,,
0,452478,,,,,0.435944,
0,554797,,,,,,0.000385621
