,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,870078,0.0,,,,,
1,743300,0.973027,,,,,
2,530367,0.976349,,,,,
3,388165,0.980423,,,,,
4,273613,0.984457,,,,,
5,219624,0.985742,,,,,
6,208775,0.985881,,,,,
7,206999,0.98592,,,,,
8,206503,0.98592,,,,,
9,206231,0.98592,,,,,
10,206231,0.98592,,,,,
0,870078,,0.0,,,,
1,743300,,0.973027,,,,
2,530729,,0.975716,,,,
3,388765,,0.979474,,,,
4,276913,,0.983409,,,,
5,225674,,0.984615,,,,
6,215370,,0.984714,,,,
7,213709,,0.984754,,,,
8,213219,,0.984754,,,,
9,212947,,0.984754,,,,
10,212947,,0.984754,,,,
0,870078,,,0.0,,,
1,743300,,,0.973027,,,
2,530729,,,0.975716,,,
3,390129,,,0.97718,,,
4,279996,,,0.978564,,,
5,230057,,,0.979137,,,
6,219900,,,0.979256,,,
7,218229,,,0.979296,,,
8,217739,,,0.979296,,,
9,217467,,,0.979296,,,
10,217467,,,0.979296,,,
0,870078,,,,0.0,,
1,743300,,,,0.973027,,
2,530729,,,,0.975716,,
3,390129,,,,0.97718,,
4,279996,,,,0.978564,,
5,230158,,,,0.978999,,
6,220076,,,,0.979039,,
7,218418,,,,0.979039,,
8,217928,,,,0.979039,,
9,217656,,,,0.979039,,
10,217656,,,,0.979039,,
0,220815,,,,,0.975182,
0,871254,,,,,,0.00885918
