,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.999865,,,,
1,75034,0.956023,,,,
2,137534,0.886901,,,,
3,200034,0.855682,,,,
4,262534,0.847076,,,,
5,325034,0.844814,,,,
6,387534,0.844207,,,,
7,450034,0.844072,,,,
0,216365,,0.74633,,,
1,203910,,0.746667,,,
2,203910,,0.746667,,,
3,203910,,0.746667,,,
4,198837,,0.746903,,,
5,198837,,0.746937,,,
6,198837,,0.746903,,,
7,198837,,0.746903,,,
8,198837,,0.746903,,,
9,198837,,0.746903,,,
10,196547,,0.747005,,,
11,196547,,0.747005,,,
12,196547,,0.747005,,,
13,196547,,0.747005,,,
14,196547,,0.747005,,,
0,266373,,,0.617537,,
1,266373,,,0.617571,,
2,253910,,,0.618212,,
3,253910,,,0.618212,,
4,253910,,,0.618212,,
5,253910,,,0.618212,,
6,248845,,,0.618448,,
7,248845,,,0.618448,,
8,248845,,,0.618448,,
9,248845,,,0.618448,,
10,248845,,,0.618448,,
11,248845,,,0.618448,,
12,248845,,,0.618482,,
13,248845,,,0.618448,,
14,246555,,,0.618651,,
0,316373,,,,0.488677,
1,316373,,,,0.488677,
2,303910,,,,0.489588,
3,303910,,,,0.489588,
4,303910,,,,0.489588,
5,303910,,,,0.489588,
6,303910,,,,0.489588,
7,298837,,,,0.489824,
8,298837,,,,0.489824,
9,298837,,,,0.489824,
10,298837,,,,0.489824,
11,298837,,,,0.489824,
12,298837,,,,0.489824,
13,298837,,,,0.489824,
14,298837,,,,0.489824,
0,246245,,,,,0.337305
