,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.31297,,,,
1,75034,0.00092,,,,
2,137534,4e-05,,,,
3,200034,0.0,,,,
4,262534,0.0,,,,
5,325034,0.0,,,,
6,387534,0.0,,,,
7,450034,0.0,,,,
0,216365,,0.0,,,
1,203910,,0.0,,,
2,203910,,0.0,,,
3,203910,,0.0,,,
4,198837,,0.0,,,
5,198837,,0.0,,,
6,198837,,0.0,,,
7,198837,,0.0,,,
8,198837,,0.0,,,
9,198837,,0.0,,,
10,196547,,0.0,,,
11,196547,,0.0,,,
12,196547,,0.0,,,
13,196547,,0.0,,,
14,196547,,0.0,,,
0,266373,,,0.0,,
1,266373,,,0.0,,
2,253910,,,0.0,,
3,253910,,,0.0,,
4,253910,,,0.0,,
5,253910,,,0.0,,
6,248845,,,0.0,,
7,248845,,,0.0,,
8,248845,,,0.0,,
9,248845,,,0.0,,
10,248845,,,0.0,,
11,248845,,,0.0,,
12,248845,,,0.0,,
13,248845,,,0.0,,
14,246555,,,0.0,,
0,316373,,,,0.0,
1,316373,,,,0.0,
2,303910,,,,0.0,
3,303910,,,,0.0,
4,303910,,,,0.0,
5,303910,,,,0.0,
6,303910,,,,0.0,
7,298837,,,,0.0,
8,298837,,,,0.0,
9,298837,,,,0.0,
10,298837,,,,0.0,
11,298837,,,,0.0,
12,298837,,,,0.0,
13,298837,,,,0.0,
14,298837,,,,0.0,
0,246245,,,,,0.0
