,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.993137,,,,
1,75034,0.146187,,,,
2,137534,0.0330629,,,,
3,200034,0.0123848,,,,
4,262534,0.00530207,,,,
5,325034,0.00368144,,,,
6,387534,0.00267104,,,,
7,450034,0.00201078,,,,
0,240019,,0.0171767,,,
1,240019,,0.0171767,,,
2,240019,,0.0171767,,,
3,240019,,0.0171767,,,
4,220815,,0.0171767,,,
5,220815,,0.0171767,,,
6,220815,,0.0171767,,,
7,220815,,0.0171767,,,
8,220815,,0.0171767,,,
9,220815,,0.0171767,,,
10,220815,,0.0171767,,,
11,220815,,0.0171767,,,
12,220815,,0.0171767,,,
13,220815,,0.0171767,,,
14,220815,,0.0171767,,,
0,290027,,,0.00925361,,
1,290027,,,0.00925361,,
2,290027,,,0.00925361,,
3,290027,,,0.00925361,,
4,290027,,,0.00925361,,
5,290027,,,0.00925361,,
6,270823,,,0.00925361,,
7,270823,,,0.00925361,,
8,270823,,,0.00925361,,
9,270823,,,0.00925361,,
10,270823,,,0.00925361,,
11,270823,,,0.00925361,,
12,270823,,,0.00925361,,
13,270823,,,0.00925361,,
14,270823,,,0.00925361,,
0,340027,,,,0.000860336,
1,340027,,,,0.000860336,
2,340027,,,,0.000860336,
3,340027,,,,0.000860336,
4,340027,,,,0.000860336,
5,340027,,,,0.000860336,
6,340027,,,,0.000860336,
7,320823,,,,0.000860336,
8,320823,,,,0.000860336,
9,320823,,,,0.000860336,
10,320823,,,,0.000860336,
11,320823,,,,0.000860336,
12,320823,,,,0.000860336,
13,320823,,,,0.000860336,
14,320823,,,,0.000860336,
0,871254,,,,,0.0
