,Memory usage,RangeBF,SuRF Base,SuRF Real s=4,SuRF Real s=8,FST
0,12534,0.99965,,,,
1,75034,0.227672,,,,
2,137534,0.0332576,,,,
3,200034,0.0095822,,,,
4,262534,0.00472109,,,,
5,325034,0.00269062,,,,
6,387534,0.0017404,,,,
7,450034,0.00125029,,,,
0,188039,,0.195895,,,
1,188039,,0.195895,,,
2,188039,,0.195895,,,
3,188039,,0.195895,,,
4,188039,,0.195895,,,
5,188039,,0.195895,,,
6,188039,,0.195895,,,
7,188039,,0.195895,,,
8,188039,,0.195895,,,
9,188039,,0.195895,,,
10,164053,,0.195895,,,
11,164053,,0.195895,,,
12,164053,,0.195895,,,
13,164053,,0.195895,,,
14,164053,,0.195895,,,
0,238047,,,0.100393,,
1,238047,,,0.100393,,
2,238047,,,0.100393,,
3,238047,,,0.100393,,
4,238047,,,0.100393,,
5,238047,,,0.100393,,
6,238047,,,0.100393,,
7,238047,,,0.100393,,
8,238047,,,0.100393,,
9,238047,,,0.100393,,
10,238047,,,0.100393,,
11,238047,,,0.100393,,
12,238047,,,0.100393,,
13,238047,,,0.100393,,
14,214053,,,0.100393,,
0,288047,,,,0.00707163,
1,288047,,,,0.00707163,
2,288047,,,,0.00707163,
3,288047,,,,0.00707163,
4,288047,,,,0.00707163,
5,288047,,,,0.00707163,
6,288047,,,,0.00707163,
7,288047,,,,0.00707163,
8,288047,,,,0.00707163,
9,288047,,,,0.00707163,
10,288047,,,,0.00707163,
11,288047,,,,0.00707163,
12,288047,,,,0.00707163,
13,288047,,,,0.00707163,
14,288047,,,,0.00707163,
0,1414394,,,,,1.00023e-05
