,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999745,,,,,
1,75034,0.951868,,,,,
2,137534,0.878172,,,,,
3,200034,0.847954,,,,,
4,262534,0.840303,,,,,
5,325034,0.838582,,,,,
6,387534,0.838008,,,,,
7,450034,0.837881,,,,,
0,196547,,0.538251,,,,
1,209059,,0.538251,,,,
2,221555,,0.534936,,,,
3,234059,,0.534936,,,,
4,246555,,0.461239,,,,
5,259059,,0.424901,,,,
6,273845,,0.402843,,,,
7,286341,,0.391304,,,,
8,298837,,0.385312,,,,
0,196547,,,0.538251,,,
1,209059,,,0.538251,,,
2,221555,,,0.538251,,,
3,234059,,,0.538251,,,
4,246555,,,0.538251,,,
5,259059,,,0.538251,,,
6,273845,,,0.537358,,,
7,286341,,,0.537358,,,
8,298837,,,0.537358,,,
0,196547,,,,0.538251,,
1,221555,,,,0.538251,,
2,246555,,,,0.534936,,
3,273845,,,,0.534043,,
4,298837,,,,0.460219,,
5,323845,,,,0.423881,,
6,348845,,,,0.402843,,
7,373845,,,,0.391304,,
8,398837,,,,0.385312,,
0,196547,,,,,0.538251,
0,246245,,,,,,0.0
