,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.978084,,,,,
1,75034,0.751939,,,,,
2,137534,0.7339,,,,,
3,200034,0.713355,,,,,
4,262534,0.683877,,,,,
5,325034,0.650992,,,,,
6,387534,0.624384,,,,,
7,450034,0.602297,,,,,
0,452478,,0.435944,,,,
1,464990,,0.435944,,,,
2,477486,,0.435923,,,,
3,489990,,0.435923,,,,
4,502486,,0.422469,,,,
5,514982,,0.415399,,,,
6,527486,,0.40683,,,,
7,539982,,0.401217,,,,
8,552478,,0.398753,,,,
0,452478,,,0.435944,,,
1,464990,,,0.435944,,,
2,477486,,,0.435944,,,
3,489990,,,0.435944,,,
4,502486,,,0.435944,,,
5,514982,,,0.435944,,,
6,527486,,,0.435944,,,
7,539982,,,0.435944,,,
8,552478,,,0.435944,,,
0,452478,,,,0.435944,,
1,477486,,,,0.435944,,
2,502486,,,,0.435923,,
3,527486,,,,0.435923,,
4,552478,,,,0.422469,,
5,577486,,,,0.415399,,
6,602486,,,,0.40683,,
7,647305,,,,0.401217,,
8,672305,,,,0.398753,,
0,452478,,,,,0.435944,
0,554797,,,,,,0.000385621
