,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999947,,,,,
1,75034,0.99896,,,,,
2,137534,0.993198,,,,,
3,200034,0.983675,,,,,
4,262534,0.968684,,,,,
5,325034,0.950972,,,,,
6,387534,0.932834,,,,,
7,450034,0.915949,,,,,
0,220815,,0.817867,,,,
1,233319,,0.817867,,,,
2,245823,,0.815332,,,,
3,258319,,0.815332,,,,
4,270823,,0.744165,,,,
5,283319,,0.709488,,,,
6,295823,,0.689589,,,,
7,308319,,0.679426,,,,
8,320823,,0.674518,,,,
0,220815,,,0.817867,,,
1,233319,,,0.817867,,,
2,245823,,,0.817867,,,
3,258319,,,0.817867,,,
4,270823,,,0.817867,,,
5,283319,,,0.817867,,,
6,295823,,,0.817867,,,
7,308319,,,0.817867,,,
8,320823,,,0.817867,,,
0,220815,,,,0.817867,,
1,245823,,,,0.817867,,
2,270823,,,,0.815332,,
3,295823,,,,0.815332,,
4,320823,,,,0.744165,,
5,345823,,,,0.709488,,
6,370823,,,,0.689589,,
7,395823,,,,0.679426,,
8,420823,,,,0.674518,,
0,220815,,,,,0.817867,
0,871254,,,,,,0.00704207
