,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.993331,,,,,
1,75034,0.297262,,,,,
2,137534,0.18301,,,,,
3,200034,0.145057,,,,,
4,262534,0.126129,,,,,
5,325034,0.115396,,,,,
6,387534,0.1067,,,,,
7,450034,0.0962504,,,,,
0,211693,,0.358479,,,,
1,224197,,0.358479,,,,
2,274364,,0.350023,,,,
3,286868,,0.350023,,,,
4,299364,,0.257728,,,,
5,311868,,0.212246,,,,
6,324364,,0.187096,,,,
7,336860,,0.174401,,,,
8,349364,,0.167395,,,,
0,211693,,,0.358479,,,
1,224197,,,0.358479,,,
2,274364,,,0.358447,,,
3,286868,,,0.358447,,,
4,299364,,,0.358447,,,
5,311868,,,0.358447,,,
6,324364,,,0.358447,,,
7,336860,,,0.358447,,,
8,349364,,,0.358447,,,
0,211693,,,,0.358479,,
1,274364,,,,0.358447,,
2,299364,,,,0.350023,,
3,324364,,,,0.350023,,
4,349364,,,,0.257728,,
5,374364,,,,0.212246,,
6,399364,,,,0.187096,,
7,424364,,,,0.174401,,
8,449356,,,,0.167395,,
0,211693,,,,,0.358479,
0,905455,,,,,,0.0396313
