,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999275,,,,,
1,75034,0.999109,,,,,
2,137534,0.998031,,,,,
3,200034,0.995255,,,,,
4,262534,0.990613,,,,,
5,325034,0.985599,,,,,
6,387534,0.976855,,,,,
7,450034,0.967571,,,,,
0,164053,,0.992623,,,,
1,176557,,0.992623,,,,
2,189053,,0.992147,,,,
3,201557,,0.992147,,,,
4,214053,,0.970182,,,,
5,250543,,0.958703,,,,
6,263047,,0.95286,,,,
7,275551,,0.948798,,,,
8,288047,,0.947016,,,,
0,164053,,,0.992623,,,
1,176557,,,0.992623,,,
2,189053,,,0.992623,,,
3,201557,,,0.992623,,,
4,214053,,,0.992623,,,
5,250543,,,0.992623,,,
6,263047,,,0.992623,,,
7,275551,,,0.992623,,,
8,288047,,,0.992623,,,
0,164053,,,,0.992623,,
1,189053,,,,0.992623,,
2,214053,,,,0.992147,,
3,263047,,,,0.992147,,
4,288047,,,,0.970182,,
5,313047,,,,0.958703,,
6,338047,,,,0.95286,,
7,363047,,,,0.948798,,
8,388047,,,,0.947016,,
0,164053,,,,,0.992623,
0,1414394,,,,,,0.0
