,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,1.0,,,,,
2,137534,1.0,,,,,
3,200034,1.0,,,,,
4,262534,1.0,,,,,
5,325034,0.999767,,,,,
6,387534,0.999133,,,,,
7,450034,0.998499,,,,,
0,220527,,0.975639,,,,
0,220527,,,0.975639,,,
1,233031,,,0.975639,,,
2,245535,,,0.975617,,,
3,258031,,,0.975617,,,
4,270535,,,0.946583,,,
5,283039,,,0.932393,,,
6,295535,,,0.924865,,,
7,308039,,,0.920424,,,
8,320535,,,0.918119,,,
0,220527,,,,0.975639,,
1,233031,,,,0.975639,,
2,245535,,,,0.975639,,
3,258031,,,,0.975639,,
4,270535,,,,0.975639,,
5,283039,,,,0.975639,,
6,295535,,,,0.975639,,
7,308039,,,,0.975639,,
8,320535,,,,0.975639,,
0,220527,,,,,0.975639,
1,245535,,,,,0.975639,
2,270535,,,,,0.975617,
3,295535,,,,,0.975617,
4,320535,,,,,0.946583,
5,345535,,,,,0.932393,
6,370535,,,,,0.924865,
7,395535,,,,,0.920424,
8,420535,,,,,0.918119,
0,871006,,,,,,0.00818389
