,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,0.982962,,,,,
2,137534,0.908346,,,,,
3,200034,0.79394,,,,,
4,262534,0.665901,,,,,
5,325034,0.548671,,,,,
6,387534,0.451527,,,,,
7,450034,0.377544,,,,,
0,221094,,0.707749,,,,
0,221094,,,0.707749,,,
1,233606,,,0.707749,,,
2,246102,,,0.69318,,,
3,258606,,,0.69318,,,
4,271102,,,0.627788,,,
5,283606,,,0.598833,,,
6,296102,,,0.58169,,,
7,308606,,,0.571792,,,
8,321102,,,0.567015,,,
0,221094,,,,0.707749,,
1,233606,,,,0.707749,,
2,246102,,,,0.707749,,
3,258606,,,,0.707749,,
4,271102,,,,0.707749,,
5,283606,,,,0.707749,,
6,296102,,,,0.707749,,
7,308606,,,,0.707749,,
8,321102,,,,0.707749,,
0,221094,,,,,0.707749,
1,246102,,,,,0.707749,
2,271102,,,,,0.69318,
3,296102,,,,,0.69318,
4,321102,,,,,0.627788,
5,346102,,,,,0.598833,
6,371102,,,,,0.58169,
7,396102,,,,,0.571792,
8,421102,,,,,0.567015,
0,870974,,,,,,0.00385356
