,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,1.0,,,,,,
1,75034,0.985326,,,,,,
2,137534,0.932548,,,,,,
3,200034,0.847123,,,,,,
4,262534,0.746062,,,,,,
5,325034,0.652628,,,,,,
6,387534,0.584447,,,,,,
7,450034,0.539745,,,,,,
0,13855,,0.999105,,,,,
1,76355,,0.997762,,,,,
2,138855,,0.991627,,,,,
3,201355,,0.982225,,,,,
4,263855,,0.972359,,,,,
5,326355,,0.914293,,,,,
6,388855,,0.892854,,,,,
7,451355,,0.872525,,,,,
0,20972,,,0.987199,,,,
1,83472,,,0.98584,,,,
2,145972,,,0.979688,,,,
3,208472,,,0.970254,,,,
4,270972,,,0.928751,,,,
5,333472,,,0.901409,,,,
6,395972,,,0.87997,,,,
7,458472,,,0.829133,,,,
0,62428,,,,0.930973,,,
1,124928,,,,0.929398,,,
2,187428,,,,0.922434,,,
3,249928,,,,0.912801,,,
4,312428,,,,0.86649,,,
5,374928,,,,0.839745,,,
6,437428,,,,0.790549,,,
7,499928,,,,0.771564,,,
0,556713,,,,,0.0,,
1,556460,,,,,0.000298458,,
2,539966,,,,,0.0292489,,
3,524458,,,,,0.0480683,,
4,442984,,,,,0.191096,,
5,397328,,,,,0.274731,,
6,370008,,,,,0.316598,,
7,328406,,,,,0.390449,,
8,263302,,,,,0.515006,,
9,217656,,,,,0.597214,,
10,193614,,,,,0.634654,,
11,185337,,,,,0.646725,,
12,177760,,,,,0.656624,,
13,175748,,,,,0.658398,,
14,175216,,,,,0.658796,,
15,175004,,,,,0.659062,,
16,174788,,,,,0.659062,,
17,174444,,,,,0.659062,,
18,174300,,,,,0.659062,,
19,174300,,,,,0.659062,,
0,452690,,,,,,0.110446,
0,556713,,,,,,,0.000215553
