,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.976142,,,,,,
1,75034,0.73961,,,,,,
2,137534,0.687147,,,,,,
3,200034,0.593018,,,,,,
4,262534,0.461326,,,,,,
5,325034,0.32491,,,,,,
6,387534,0.210172,,,,,,
7,450034,0.125171,,,,,,
0,13855,,0.975971,,,,,
1,76355,,0.747755,,,,,
2,138855,,0.73247,,,,,
3,201355,,0.718894,,,,,
4,263855,,0.708718,,,,,
5,326355,,0.651744,,,,,
6,388855,,0.631029,,,,,
7,451355,,0.61476,,,,,
0,20972,,,0.967334,,,,
1,83472,,,0.747114,,,,
2,145972,,,0.732042,,,,
3,208472,,,0.718488,,,,
4,270972,,,0.676287,,,,
5,333472,,,0.650611,,,,
6,395972,,,0.629276,,,,
7,458472,,,0.589405,,,,
0,62428,,,,0.901125,,,
1,124928,,,,0.744634,,,
2,187428,,,,0.729584,,,
3,249928,,,,0.714726,,,
4,312428,,,,0.667265,,,
5,374928,,,,0.641162,,,
6,437428,,,,0.594814,,,
7,499928,,,,0.580875,,,
0,556713,,,,,8.55139e-05,,
1,556460,,,,,0.00607149,,
2,539966,,,,,0.405593,,
3,524458,,,,,0.409719,,
4,442984,,,,,0.595369,,
5,397328,,,,,0.655721,,
6,370008,,,,,0.662605,,
7,328406,,,,,0.680413,,
8,263302,,,,,0.714084,,
9,217656,,,,,0.748183,,
10,193614,,,,,0.773538,,
11,185337,,,,,0.783051,,
12,177760,,,,,0.795301,,
13,175748,,,,,0.799149,,
14,175216,,,,,0.800603,,
15,175004,,,,,0.80103,,
16,174788,,,,,0.80103,,
17,174444,,,,,0.80103,,
18,174300,,,,,0.801116,,
19,174300,,,,,0.801116,,
0,452690,,,,,,0.439264,
0,556713,,,,,,,0.000320677
