,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.999876,,,,,,
1,75034,0.999459,,,,,,
2,137534,0.994637,,,,,,
3,200034,0.982256,,,,,,
4,262534,0.967464,,,,,,
5,325034,0.941544,,,,,,
6,387534,0.907153,,,,,,
7,450034,0.873118,,,,,,
0,37185,,0.999876,,,,,
1,99685,,0.999815,,,,,
2,162185,,0.999351,,,,,
3,224685,,0.997743,,,,,
4,287185,,0.995023,,,,,
5,349685,,0.989351,,,,,
6,412185,,0.980448,,,,,
7,474685,,0.967804,,,,,
0,306186,,,0.944465,,,,
1,368686,,,0.944233,,,,
2,431186,,,0.943507,,,,
3,493686,,,0.940833,,,,
4,556186,,,0.934789,,,,
5,618686,,,0.924526,,,,
6,681186,,,0.910353,,,,
7,743686,,,0.88689,,,,
0,569902,,,,0.7931,,,
1,632402,,,,0.79259,,,
2,694902,,,,0.790998,,,
3,757402,,,,0.785109,,,
4,819902,,,,0.773424,,,
5,882402,,,,0.753315,,,
6,944902,,,,0.726344,,,
7,1007402,,,,0.694828,,,
0,1413844,,,,,0.0,,
1,1413517,,,,,0.00021639,,
2,1283496,,,,,0.16543,,
3,1189098,,,,,0.266994,,
4,1082190,,,,,0.384834,,
5,985282,,,,,0.482642,,
6,905584,,,,,0.557312,,
7,819987,,,,,0.632833,,
8,729601,,,,,0.702757,,
9,622025,,,,,0.777211,,
10,492700,,,,,0.858156,,
11,429245,,,,,0.892871,,
12,328060,,,,,0.93921,,
13,228143,,,,,0.968237,,
14,181719,,,,,0.982395,,
15,164163,,,,,0.986306,,
16,164063,,,,,0.986306,,
17,164063,,,,,0.986306,,
18,164063,,,,,0.986306,,
19,164063,,,,,0.986306,,
0,164045,,,,,,0.986259,
0,1413814,,,,,,,1.54564e-05
