,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,62534,0.335187,,,,,,
1,125034,0.0375464,,,,,,
2,187534,0.00892152,,,,,,
3,250034,0.00368063,,,,,,
4,312534,0.00200034,,,,,,
5,375034,0.00134023,,,,,,
6,437534,0.000830141,,,,,,
7,500034,0.000720122,,,,,,
8,562534,0.000640109,,,,,,
9,625034,0.000480082,,,,,,
0,87193,,0.320444,,,,,
1,149693,,0.035296,,,,,
2,212193,,0.00843143,,,,,
3,274693,,0.0035106,,,,,
4,337193,,0.00187032,,,,,
5,399693,,0.00128022,,,,,
6,462193,,0.000780133,,,,,
7,524693,,0.000680116,,,,,
8,587193,,0.000630107,,,,,
9,649693,,0.000520088,,,,,
0,356194,,,0.00225038,,,,
1,418694,,,0.00053009,,,,
2,481194,,,0.000250043,,,,
3,543694,,,0.000210036,,,,
4,606194,,,0.000200034,,,,
5,668694,,,0.000150026,,,,
6,731194,,,0.000160027,,,,
7,793694,,,0.00012002,,,,
8,856194,,,0.000130022,,,,
9,918694,,,0.000150026,,,,
0,619910,,,,1.00017e-05,,,
1,682410,,,,0.0,,,
2,744910,,,,1.00017e-05,,,
3,807410,,,,0.0,,,
4,869910,,,,0.0,,,
5,932410,,,,0.0,,,
6,994910,,,,0.0,,,
7,1057410,,,,0.0,,,
8,1119910,,,,0.0,,,
9,1182410,,,,0.0,,,
0,1413844,,,,,3.00051e-05,,
1,1413517,,,,,3.00051e-05,,
2,1283496,,,,,3.00051e-05,,
3,1189098,,,,,3.00051e-05,,
4,1082190,,,,,0.00012002,,
5,985282,,,,,0.000160027,,
6,905584,,,,,0.000440075,,
7,819987,,,,,0.000500085,,
8,729601,,,,,0.0011502,,
9,622025,,,,,0.00272046,,
10,492700,,,,,0.00803137,,
11,429245,,,,,0.0171529,,
12,328060,,,,,0.0347359,,
13,228143,,,,,0.0904354,,
14,181719,,,,,0.156127,,
15,164163,,,,,0.192943,,
16,164063,,,,,0.196513,,
17,164063,,,,,0.196513,,
18,164063,,,,,0.196513,,
19,164063,,,,,0.196513,,
0,164045,,,,,,0.196503,
0,1413814,,,,,,,5.00085e-05
