,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,1.0,,,,,,
1,75034,1.0,,,,,,
2,137534,1.0,,,,,,
3,200034,0.999538,,,,,,
4,262534,0.996614,,,,,,
5,325034,0.991446,,,,,,
6,387534,0.986432,,,,,,
7,450034,0.981133,,,,,,
0,13858,,0.999604,,,,,
1,76358,,0.999604,,,,,
2,138858,,0.999604,,,,,
3,201358,,0.999582,,,,,
4,263858,,0.999494,,,,,
5,326358,,0.996965,,,,,
6,388858,,0.995932,,,,,
7,451358,,0.993711,,,,,
0,21126,,,0.991226,,,,
1,83626,,,0.991226,,,,
2,146126,,,0.991226,,,,
3,208626,,,0.991204,,,,
4,271126,,,0.990303,,,,
5,333626,,,0.988543,,,,
6,396126,,,0.987378,,,,
7,458626,,,0.98254,,,,
0,62640,,,,0.947687,,,
1,125140,,,,0.947687,,,
2,187640,,,,0.947687,,,
3,250140,,,,0.947643,,,
4,312640,,,,0.946235,,,
5,375140,,,,0.944498,,,
6,437640,,,,0.94032,,,
7,500140,,,,0.938099,,,
0,555344,,,,,0.0,,
1,555111,,,,,0.000373824,,
2,538940,,,,,0.0379761,,
3,523596,,,,,0.0555018,,
4,442476,,,,,0.204679,,
5,396752,,,,,0.293056,,
6,369376,,,,,0.334836,,
7,327256,,,,,0.409777,,
8,262432,,,,,0.537294,,
9,217221,,,,,0.618546,,
10,192712,,,,,0.655181,,
11,185092,,,,,0.665868,,
12,177125,,,,,0.675785,,
13,175057,,,,,0.677676,,
14,174511,,,,,0.678226,,
15,174317,,,,,0.678314,,
16,174154,,,,,0.678358,,
17,173946,,,,,0.678358,,
18,173946,,,,,0.678358,,
19,173946,,,,,0.678358,,
0,454704,,,,,,0.111311,
0,555355,,,,,,,0.000439792
