,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.934121,,,,,,
1,75034,0.0599778,,,,,,
2,137534,0.0092512,,,,,,
3,200034,0.0030504,,,,,,
4,262534,0.00177023,,,,,,
5,325034,0.00116015,,,,,,
6,387534,0.000730095,,,,,,
7,450034,0.000560073,,,,,,
0,13858,,0.0181824,,,,,
1,76358,,0.00516067,,,,,
2,138858,,0.00302039,,,,,
3,201358,,0.00214028,,,,,
4,263858,,0.00159021,,,,,
5,326358,,0.00106014,,,,,
6,388858,,0.000900117,,,,,
7,451358,,0.000870113,,,,,
0,21126,,,0.000720094,,,,
1,83626,,,0.000570074,,,,
2,146126,,,0.000600078,,,,
3,208626,,,0.000560073,,,,
4,271126,,,0.000510066,,,,
5,333626,,,0.000500065,,,,
6,396126,,,0.000490064,,,,
7,458626,,,0.00046006,,,,
0,62640,,,,4.00052e-05,,,
1,125140,,,,4.00052e-05,,,
2,187640,,,,4.00052e-05,,,
3,250140,,,,4.00052e-05,,,
4,312640,,,,4.00052e-05,,,
5,375140,,,,4.00052e-05,,,
6,437640,,,,4.00052e-05,,,
7,500140,,,,4.00052e-05,,,
0,555344,,,,,0.0,,
1,555111,,,,,0.0,,
2,538940,,,,,0.0,,
3,523596,,,,,0.0,,
4,442476,,,,,0.0,,
5,396752,,,,,0.0,,
6,369376,,,,,0.0,,
7,327256,,,,,0.0,,
8,262432,,,,,0.0,,
9,217221,,,,,1.00013e-05,,
10,192712,,,,,4.00052e-05,,
11,185092,,,,,8.00104e-05,,
12,177125,,,,,0.000180023,,
13,175057,,,,,0.000410053,,
14,174511,,,,,0.000830108,,
15,174317,,,,,0.00270035,,
16,174154,,,,,0.00685089,,
17,173946,,,,,0.0111715,,
18,173946,,,,,0.0111715,,
19,173946,,,,,0.0111715,,
0,454704,,,,,,0.0023203,
0,555355,,,,,,,0.0
