,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.993892,,,,,,
1,75034,0.284143,,,,,,
2,137534,0.156652,,,,,,
3,200034,0.114319,,,,,,
4,262534,0.0943612,,,,,,
5,325034,0.0843564,,,,,,
6,387534,0.0749584,,,,,,
7,450034,0.0665371,,,,,,
0,13927,,0.993378,,,,,
1,76427,,0.281068,,,,,
2,138927,,0.151809,,,,,
3,201427,,0.113826,,,,,
4,263927,,0.0976001,,,,,
5,326427,,0.0746705,,,,,
6,388927,,0.067699,,,,,
7,451427,,0.0624859,,,,,
0,23700,,,0.974623,,,,
1,86200,,,0.276091,,,,
2,148700,,,0.150081,,,,
3,211200,,,0.113013,,,,
4,273700,,,0.0843873,,,,
5,336200,,,0.0741975,,,,
6,398700,,,0.0672466,,,,
7,461200,,,0.058414,,,,
0,85446,,,,0.801489,,,
1,147946,,,,0.234417,,,
2,210446,,,,0.135552,,,
3,272946,,,,0.0963765,,,
4,335446,,,,0.0787114,,,
5,397946,,,,0.0674934,,,
6,460446,,,,0.0608098,,,
7,522946,,,,0.0548358,,,
0,869876,,,,,0.00843153,,
1,869545,,,,,0.00843153,,
2,743162,,,,,0.0294692,,
3,625403,,,,,0.0383326,,
4,529809,,,,,0.07611,,
5,449107,,,,,0.127604,,
6,387851,,,,,0.175859,,
7,333912,,,,,0.243301,,
8,285866,,,,,0.314301,,
9,244943,,,,,0.401968,,
10,223237,,,,,0.466798,,
11,217585,,,,,0.486654,,
12,212304,,,,,0.506025,,
13,210912,,,,,0.512318,,
14,210469,,,,,0.514107,,
15,210337,,,,,0.514673,,
16,209919,,,,,0.514765,,
17,209783,,,,,0.514796,,
18,209719,,,,,0.514827,,
19,209719,,,,,0.514827,,
0,220826,,,,,,0.499445,
0,871063,,,,,,,0.0176034
