,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.999971,,,,,,
1,75034,0.999971,,,,,,
2,137534,0.999971,,,,,,
3,200034,0.999971,,,,,,
4,262534,0.999828,,,,,,
5,325034,0.999342,,,,,,
6,387534,0.997596,,,,,,
7,450034,0.994992,,,,,,
0,19153,,0.999771,,,,,
1,81653,,0.999771,,,,,
2,144153,,0.999771,,,,,
3,206653,,0.999771,,,,,
4,269153,,0.999771,,,,,
5,331653,,0.999428,,,,,
6,394153,,0.998569,,,,,
7,456653,,0.997424,,,,,
0,60476,,,0.98841,,,,
1,122976,,,0.98841,,,,
2,185476,,,0.98841,,,,
3,247976,,,0.98841,,,,
4,310476,,,0.988267,,,,
5,372976,,,0.987866,,,,
6,435476,,,0.98695,,,,
7,497976,,,0.984088,,,,
0,160371,,,,0.92608,,,
1,222871,,,,0.92608,,,
2,285371,,,,0.92608,,,
3,347871,,,,0.92608,,,
4,410371,,,,0.925822,,,
5,472871,,,,0.924448,,,
6,535371,,,,0.922617,,,
7,597871,,,,0.919497,,,
0,900423,,,,,0.0,,
1,899503,,,,,0.00134505,,
2,780860,,,,,0.215809,,
3,694138,,,,,0.349197,,
4,607023,,,,,0.483502,,
5,534584,,,,,0.581032,,
6,479673,,,,,0.649629,,
7,427721,,,,,0.707466,,
8,377301,,,,,0.761326,,
9,326792,,,,,0.810033,,
10,284553,,,,,0.844318,,
11,228883,,,,,0.855651,,
12,208157,,,,,0.869187,,
13,197716,,,,,0.874367,,
14,192789,,,,,0.87657,,
15,189898,,,,,0.877858,,
16,189530,,,,,0.877915,,
17,189509,,,,,0.877915,,
18,189509,,,,,0.877915,,
19,189509,,,,,0.877915,,
0,211177,,,,,,0.851959,
0,904409,,,,,,,0.015282
