,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,6284,1.0,,,,,,
1,68784,0.911019,,,,,,
2,131284,0.732224,,,,,,
3,193784,0.549073,,,,,,
4,256284,0.397479,,,,,,
5,318784,0.297229,,,,,,
6,381284,0.239315,,,,,,
7,443784,0.202313,,,,,,
8,506284,0.182857,,,,,,
9,568784,0.170597,,,,,,
0,7604,,0.997773,,,,,
1,70104,,0.991471,,,,,
2,132604,,0.974341,,,,,
3,195104,,0.951814,,,,,
4,257604,,0.928724,,,,,
5,320104,,0.836611,,,,,
6,382604,,0.801958,,,,,
7,445104,,0.776066,,,,,
8,507604,,0.756647,,,,,
9,570104,,0.699137,,,,,
0,14711,,,0.976005,,,,
1,77211,,,0.969691,,,,
2,139711,,,0.952352,,,,
3,202211,,,0.930229,,,,
4,264711,,,0.90725,,,,
5,327211,,,0.814671,,,,
6,389711,,,0.780153,,,,
7,452211,,,0.713136,,,,
8,514711,,,0.693423,,,,
9,577211,,,0.679046,,,,
0,56017,,,,0.891453,,,
1,118517,,,,0.884283,,,
2,181017,,,,0.866638,,,
3,243517,,,,0.844662,,,
4,306017,,,,0.767342,,,
5,368517,,,,0.727219,,,
6,431017,,,,0.656788,,,
7,493517,,,,0.632426,,,
8,556017,,,,0.60115,,,
9,618517,,,,0.591251,,,
0,555931,,,,,0.0,,
1,555675,,,,,0.000208015,,
2,539281,,,,,0.0219272,,
3,523737,,,,,0.0398042,,
4,442661,,,,,0.164258,,
5,396944,,,,,0.242068,,
6,369311,,,,,0.283426,,
7,326943,,,,,0.353576,,
8,262573,,,,,0.471557,,
9,216477,,,,,0.550725,,
10,191849,,,,,0.58796,,
11,184093,,,,,0.599633,,
12,176401,,,,,0.609593,,
13,174387,,,,,0.611845,,
14,173820,,,,,0.612395,,
15,173632,,,,,0.612591,,
16,173417,,,,,0.612603,,
17,173073,,,,,0.61264,,
18,173009,,,,,0.61264,,
19,173009,,,,,0.61264,,
0,453376,,,,,,0.10063,
0,555960,,,,,,,0.000146834
