,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.919738,,,,,,
1,75034,0.0279506,,,,,,
2,137534,0.00220004,,,,,,
3,200034,0.000620012,,,,,,
4,262534,0.000170003,,,,,,
5,325034,0.000120002,,,,,,
6,387534,2.00004e-05,,,,,,
7,450034,2.00004e-05,,,,,,
0,13846,,0.0175604,,,,,
1,76346,,0.00301006,,,,,
2,138846,,0.00114002,,,,,
3,201346,,0.000820016,,,,,
4,263846,,0.00052001,,,,,
5,326346,,0.000300006,,,,,
6,388846,,0.000220004,,,,,
7,451346,,0.000220004,,,,,
0,20953,,,0.000340007,,,,
1,83453,,,0.000200004,,,,
2,145953,,,0.000200004,,,,
3,208453,,,0.000130003,,,,
4,270953,,,0.000110002,,,,
5,333453,,,0.000100002,,,,
6,395953,,,9.00018e-05,,,,
7,458453,,,7.00014e-05,,,,
0,62259,,,,1.00002e-05,,,
1,124759,,,,1.00002e-05,,,
2,187259,,,,1.00002e-05,,,
3,249759,,,,1.00002e-05,,,
4,312259,,,,1.00002e-05,,,
5,374759,,,,1.00002e-05,,,
6,437259,,,,1.00002e-05,,,
7,499759,,,,1.00002e-05,,,
0,555931,,,,,0.0,,
1,555675,,,,,0.0,,
2,539281,,,,,0.0,,
3,523737,,,,,0.0,,
4,442661,,,,,0.0,,
5,396944,,,,,0.0,,
6,369311,,,,,0.0,,
7,326943,,,,,0.0,,
8,262573,,,,,0.0,,
9,216477,,,,,0.0,,
10,191849,,,,,3.00006e-05,,
11,184093,,,,,5.0001e-05,,
12,176401,,,,,0.000150003,,
13,174387,,,,,0.000290006,,
14,173820,,,,,0.000940019,,
15,173632,,,,,0.00226005,,
16,173417,,,,,0.00712014,,
17,173073,,,,,0.0142603,,
18,173009,,,,,0.051671,,
19,173009,,,,,0.051671,,
0,453376,,,,,,0.00216004,
0,555960,,,,,,,0.0
