,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.997488,,,
1,125034,0.97957,,,
2,187534,0.946263,,,
3,250034,0.8923,,,
4,312534,0.830859,,,
5,375034,0.761677,,,
6,437534,0.696,,,
7,500034,0.641438,,,
8,562534,0.596454,,,
9,625034,0.561422,,,
0,870338,,0.0,,
1,870024,,0.000262408,,
2,743521,,0.199749,,
3,626287,,0.330316,,
4,531036,,0.460376,,
5,449883,,0.561535,,
6,388464,,0.629855,,
7,334618,,0.685073,,
8,286309,,0.730975,,
9,245317,,0.767563,,
10,223153,,0.785013,,
11,217574,,0.788836,,
12,212494,,0.792229,,
13,211145,,0.793054,,
14,210750,,0.793222,,
15,210558,,0.793335,,
16,210260,,0.793335,,
17,209852,,0.793335,,
18,209852,,0.793335,,
19,209852,,0.793335,,
0,220827,,,0.777534,
0,871567,,,,0.00491078
