,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.999722,,,
1,125034,0.995842,,,
2,187534,0.985054,,,
3,250034,0.969829,,,
4,312534,0.94632,,,
5,375034,0.916953,,,
6,437534,0.88131,,,
7,500034,0.840691,,,
8,562534,0.797397,,,
9,625034,0.757999,,,
0,1413844,,0.0,,
1,1413517,,0.00021639,,
2,1283496,,0.16543,,
3,1189098,,0.266994,,
4,1082190,,0.384834,,
5,985282,,0.482642,,
6,905584,,0.557312,,
7,819987,,0.632833,,
8,729601,,0.702757,,
9,622025,,0.777211,,
10,492700,,0.858156,,
11,429245,,0.892871,,
12,328060,,0.93921,,
13,228143,,0.968237,,
14,181719,,0.982395,,
15,164163,,0.986306,,
16,164063,,0.986306,,
17,164063,,0.986306,,
18,164063,,0.986306,,
19,164063,,0.986306,,
0,164045,,,0.986259,
0,1413814,,,,1.54564e-05
