,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,1.0,,,
1,125034,0.999978,,,
2,187534,0.999714,,,
3,250034,0.997581,,,
4,312534,0.993095,,,
5,375034,0.987136,,,
6,437534,0.981727,,,
7,500034,0.978318,,,
8,562534,0.976515,,,
9,625034,0.975086,,,
0,555344,,0.0,,
1,555111,,0.000373824,,
2,538940,,0.0379761,,
3,523596,,0.0555018,,
4,442476,,0.204679,,
5,396752,,0.293056,,
6,369376,,0.334836,,
7,327256,,0.409777,,
8,262432,,0.537294,,
9,217221,,0.618546,,
10,192712,,0.655181,,
11,185092,,0.665868,,
12,177125,,0.675785,,
13,175057,,0.677676,,
14,174511,,0.678226,,
15,174317,,0.678314,,
16,174154,,0.678358,,
17,173946,,0.678358,,
18,173946,,0.678358,,
19,173946,,0.678358,,
0,454704,,,0.111311,
0,555355,,,,0.000439792
