,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.926338,,,
1,125034,0.751679,,,
2,187534,0.564894,,,
3,250034,0.406938,,,
4,312534,0.307458,,,
5,375034,0.242937,,,
6,437534,0.204124,,,
7,500034,0.183004,,,
8,562534,0.170853,,,
9,625034,0.163548,,,
0,555931,,0.0,,
1,555675,,0.000208015,,
2,539281,,0.0219272,,
3,523737,,0.0398042,,
4,442661,,0.164258,,
5,396944,,0.242068,,
6,369311,,0.283426,,
7,326943,,0.353576,,
8,262573,,0.471557,,
9,216477,,0.550725,,
10,191849,,0.58796,,
11,184093,,0.599633,,
12,176401,,0.609593,,
13,174387,,0.611845,,
14,173820,,0.612395,,
15,173632,,0.612591,,
16,173417,,0.612603,,
17,173073,,0.61264,,
18,173009,,0.61264,,
19,173009,,0.61264,,
0,453376,,,0.10063,
0,555960,,,,0.000146834
