,Memory usage,RangeBF,Splash,SuRF Real,FST
0,62534,0.976191,,,
1,125034,0.878247,,,
2,187534,0.76724,,,
3,250034,0.634579,,,
4,312534,0.522447,,,
5,375034,0.425031,,,
6,437534,0.349919,,,
7,500034,0.29489,,,
8,562534,0.253886,,,
9,625034,0.223397,,,
0,901833,,0.0,,
1,900946,,0.00119246,,
2,782258,,0.189479,,
3,695147,,0.30672,,
4,608341,,0.423391,,
5,535576,,0.512758,,
6,480429,,0.57604,,
7,428369,,0.631584,,
8,377933,,0.680014,,
9,326946,,0.723932,,
10,284515,,0.757063,,
11,229081,,0.767931,,
12,208388,,0.781021,,
13,198301,,0.78598,,
14,193546,,0.788216,,
15,190697,,0.789449,,
16,190278,,0.789544,,
17,190264,,0.789544,,
18,190264,,0.789544,,
19,190264,,0.789544,,
0,211432,,,0.759191,
0,905622,,,,0.00642303
