,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.0533111,,,,
1,125034,0.00471009,,,,
2,187534,0.000780016,,,,
3,250034,0.000210004,,,,
4,312534,7.00014e-05,,,,
5,375034,3.00006e-05,,,,
6,437534,5.0001e-05,,,,
7,500034,1.00002e-05,,,,
8,562534,0.0,,,,
9,625034,0.0,,,,
0,62534,,0.102882,,,
1,125034,,0.0118102,,,
2,187534,,0.00266005,,,
3,250034,,0.000930019,,,
4,312534,,0.000530011,,,
5,375034,,0.000300006,,,
6,437534,,0.000250005,,,
7,500034,,0.000180004,,,
8,562534,,0.000180004,,,
9,625034,,0.000190004,,,
0,555931,,,0.0,,
1,555675,,,0.0,,
2,539281,,,0.0,,
3,523737,,,0.0,,
4,442661,,,0.0,,
5,396944,,,0.0,,
6,369311,,,0.0,,
7,326943,,,0.0,,
8,262573,,,0.0,,
9,216477,,,0.0,,
10,191849,,,3.00006e-05,,
11,184093,,,5.0001e-05,,
12,176401,,,0.000150003,,
13,174387,,,0.000290006,,
14,173820,,,0.000940019,,
15,173632,,,0.00226005,,
16,173417,,,0.00712014,,
17,173073,,,0.0142603,,
18,173009,,,0.051671,,
19,173009,,,0.051671,,
0,453376,,,,0.00216004,
0,555960,,,,,0.0
