,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.280357,,,,
1,125034,0.0992621,,,,
2,187534,0.0572172,,,,
3,250034,0.0358202,,,,
4,312534,0.0242209,,,,
5,375034,0.0178038,,,,
6,437534,0.0135325,,,,
7,500034,0.0110224,,,,
8,562534,0.00906892,,,,
9,625034,0.00780372,,,,
0,62534,,0.35888,,,
1,125034,,0.134637,,,
2,187534,,0.0861952,,,
3,250034,,0.0615593,,,
4,312534,,0.0494641,,,
5,375034,,0.0415692,,,
6,437534,,0.0366097,,,
7,500034,,0.0328748,,,
8,562534,,0.0296764,,,
9,625034,,0.0273282,,,
0,870258,,,0.00810737,,
1,869923,,,0.00810737,,
2,743416,,,0.0297371,,
3,626149,,,0.0397069,,
4,530490,,,0.0783206,,
5,449530,,,0.129769,,
6,387994,,,0.179617,,
7,333867,,,0.245883,,
8,285696,,,0.316309,,
9,244510,,,0.407109,,
10,222377,,,0.472151,,
11,216969,,,0.490471,,
12,211889,,,0.510096,,
13,210517,,,0.516432,,
14,210133,,,0.518183,,
15,209948,,,0.518629,,
16,209601,,,0.518862,,
17,209465,,,0.518862,,
18,209329,,,0.518912,,
19,209329,,,0.518912,,
0,220490,,,,0.502313,
0,871428,,,,,0.0165386
