,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.254771,,,,,,,,
1,25034,0.107389,,,,,,,,
2,37534,0.0585668,,,,,,,,
3,50034,0.0429354,,,,,,,,
4,62534,0.0327852,,,,,,,,
0,79479,,0.277,,,,,,,
1,119153,,0.0287251,,,,,,,
2,158832,,0.00984572,,,,,,,
3,198503,,0.00355258,,,,,,,
4,238181,,0.00111652,,,,,,,
5,277852,,0.000406009,,,,,,,
0,55106,,,0.954832,,,,,,
1,82586,,,0.195189,,,,,,
2,110077,,,0.0101502,,,,,,
3,137558,,,0.00355258,,,,,,
4,165047,,,0.00111652,,,,,,
5,192529,,,0.000406009,,,,,,
0,30725,,,,0.999797,,,,,
1,46022,,,,0.994113,,,,,
2,61321,,,,0.949756,,,,,
3,76611,,,,0.611043,,,,,
4,91909,,,,0.0185749,,,,,
5,107203,,,,0.000609013,,,,,
0,127517,,,,,0.0,,,,
1,114321,,,,,0.0,,,,
2,84734,,,,,0.0,,,,
3,71585,,,,,0.0,,,,
4,46301,,,,,0.0,,,,
5,28369,,,,,0.000304507,,,,
6,24684,,,,,0.00253756,,,,
7,22986,,,,,0.0330897,,,,
8,22914,,,,,0.0794762,,,,
9,22836,,,,,0.224929,,,,
10,22836,,,,,0.224929,,,,
0,22836,,,,,,0.224929,,,
1,22836,,,,,,0.224929,,,
2,22842,,,,,,0.224929,,,
3,22866,,,,,,0.224929,,,
4,23008,,,,,,0.224929,,,
5,23824,,,,,,0.224929,,,
6,26649,,,,,,0.224929,,,
7,37442,,,,,,0.224929,,,
8,59846,,,,,,0.224929,,,
9,92128,,,,,,0.224827,,,
10,113072,,,,,,0.223609,,,
11,123212,,,,,,0.216301,,,
12,126209,,,,,,0.196508,,,
13,126945,,,,,,0.152964,,,
14,127369,,,,,,0.0993707,,,
0,22813,,,,,,,0.224929,,
1,24077,,,,,,,0.224929,,
2,25325,,,,,,,0.224929,,
3,26573,,,,,,,0.224827,,
4,27821,,,,,,,0.224827,,
5,29069,,,,,,,0.17499,,
6,30317,,,,,,,0.0882054,,
7,31573,,,,,,,0.047503,,
8,32821,,,,,,,0.022838,,
0,22813,,,,,,,,0.224929,
0,127485,,,,,,,,,0.0
