,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.214936,,,,,,,,
1,25034,0.0897592,,,,,,,,
2,37534,0.0591985,,,,,,,,
0,81401,,0.02034,,,,,,,
1,122046,,0.00313702,,,,,,,
2,162687,,0.00101194,,,,,,,
3,203327,,0.000202388,,,,,,,
4,243968,,0.0,,,,,,,
5,284608,,0.0,,,,,,,
0,57302,,,0.0309654,,,,,,
1,85889,,,0.00313702,,,,,,
2,114482,,,0.00101194,,,,,,
3,143071,,,0.000202388,,,,,,
4,171663,,,0.0,,,,,,
5,200252,,,0.0,,,,,,
0,33202,,,,0.991904,,,,,
1,49736,,,,0.512346,,,,,
2,66278,,,,0.00111313,,,,,
3,82818,,,,0.000202388,,,,,
4,99353,,,,0.0,,,,,
5,115892,,,,0.0,,,,,
0,87597,,,,,0.0,,,,
1,76452,,,,,0.0,,,,
2,56748,,,,,0.0,,,,
3,48028,,,,,0.0,,,,
4,34754,,,,,0.0,,,,
5,26662,,,,,0.000101194,,,,
6,24463,,,,,0.00121433,,,,
7,22638,,,,,0.0493827,,,,
8,22466,,,,,0.165857,,,,
9,22453,,,,,0.286784,,,,
10,22453,,,,,0.286784,,,,
0,22453,,,,,,0.286784,,,
1,22453,,,,,,0.286784,,,
2,23271,,,,,,0.286784,,,
3,25099,,,,,,0.286784,,,
4,28030,,,,,,0.286784,,,
5,32788,,,,,,0.286784,,,
6,39366,,,,,,0.286784,,,
7,47200,,,,,,0.286784,,,
8,56502,,,,,,0.286784,,,
9,65808,,,,,,0.286784,,,
10,74256,,,,,,0.285974,,,
11,81187,,,,,,0.281218,,,
12,85552,,,,,,0.252985,,,
13,87364,,,,,,0.132362,,,
14,87597,,,,,,0.0,,,
0,22835,,,,,,,0.286582,,
1,23971,,,,,,,0.286582,,
2,25099,,,,,,,0.286582,,
3,26219,,,,,,,0.286582,,
4,27347,,,,,,,0.286582,,
5,28483,,,,,,,0.205525,,
6,29603,,,,,,,0.106962,,
7,30731,,,,,,,0.0564663,,
8,31859,,,,,,,0.0280308,,
0,22835,,,,,,,,0.286582,
0,87565,,,,,,,,,0.0
