,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.207914,,,,,,,,,,
1,25034,0.154048,,,,,,,,,,
2,37534,0.131633,,,,,,,,,,
3,50034,0.109675,,,,,,,,,,
4,62534,0.0967521,,,,,,,,,,
0,52578,,1.0,,,,,,,,,
1,78767,,0.996112,,,,,,,,,
2,104949,,0.968435,,,,,,,,,
3,131135,,0.809812,,,,,,,,,
4,157321,,0.325709,,,,,,,,,
5,183504,,0.0371683,,,,,,,,,
0,89569,,,0.0299634,,,,,,,,
1,78085,,,0.0570677,,,,,,,,
2,58051,,,0.126372,,,,,,,,
3,48951,,,0.176693,,,,,,,,
4,35676,,,0.263609,,,,,,,,
5,27551,,,0.349039,,,,,,,,
6,25331,,,0.381976,,,,,,,,
7,23514,,,0.418801,,,,,,,,
8,23346,,,0.42452,,,,,,,,
9,23333,,,0.424977,,,,,,,,
10,23333,,,0.424977,,,,,,,,
0,23333,,,,0.424977,,,,,,,
1,23333,,,,0.424977,,,,,,,
2,24183,,,,0.418344,,,,,,,
3,26169,,,,0.401189,,,,,,,
4,29181,,,,0.374543,,,,,,,
5,34164,,,,0.337603,,,,,,,
6,40921,,,,0.289113,,,,,,,
7,48890,,,,0.245997,,,,,,,
8,58270,,,,0.20231,,,,,,,
9,67698,,,,0.152333,,,,,,,
10,76186,,,,0.105215,,,,,,,
11,83117,,,,0.0665599,,,,,,,
12,87508,,,,0.0440302,,,,,,,
13,89336,,,,0.0322507,,,,,,,
14,89569,,,,0.0299634,,,,,,,
0,25948,,,,,0.406908,,,,,,
0,92662,,,,,,0.116995,,,,,
1,72933,,,,,,0.122255,,,,,
2,66357,,,,,,0.125572,,,,,
3,63069,,,,,,0.130261,,,,,
4,61096,,,,,,0.13129,,,,,
0,85571,,,,,,,0.138495,,,,
1,65842,,,,,,,0.143641,,,,
2,59266,,,,,,,0.148902,,,,
3,55978,,,,,,,0.152676,,,,
4,54005,,,,,,,0.155421,,,,
0,122211,,,,,,,,0.135178,,,
1,86216,,,,,,,,0.138952,,,
2,74218,,,,,,,,0.141354,,,
3,68219,,,,,,,,0.14204,,,
4,64620,,,,,,,,0.144099,,,
0,116205,,,,,,,,,0.146729,,
1,80210,,,,,,,,,0.153019,,
2,68212,,,,,,,,,0.156679,,
3,62213,,,,,,,,,0.160567,,
4,58614,,,,,,,,,0.162855,,
0,25948,,,,,0.406908,,,,,,
1,27212,,,,,0.406908,,,,,,
2,28460,,,,,0.406908,,,,,,
3,29708,,,,,0.396729,,,,,,
4,30956,,,,,0.396729,,,,,,
5,32212,,,,,0.337489,,,,,,
6,33460,,,,,0.274817,,,,,,
7,34708,,,,,0.243138,,,,,,
8,35956,,,,,0.224611,,,,,,
0,25948,,,,,,,,,,0.406908,
0,90226,,,,,,,,,,,0.037054
