,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.116668,,,,,,,,,,,,
1,25034,0.0278641,,,,,,,,,,,,
2,37534,0.0133307,,,,,,,,,,,,
3,50034,0.00892052,,,,,,,,,,,,
4,62534,0.00711637,,,,,,,,,,,,
5,75034,0.00531222,,,,,,,,,,,,
6,87534,0.0049113,,,,,,,,,,,,
7,100034,0.0046106,,,,,,,,,,,,
0,90179,,0.0,,,,,,,,,,,
1,78667,,0.0,,,,,,,,,,,
2,58430,,0.0,,,,,,,,,,,
3,49358,,0.0,,,,,,,,,,,
4,35799,,0.0,,,,,,,,,,,
5,27469,,0.000200461,,,,,,,,,,,
6,25198,,0.00160369,,,,,,,,,,,
7,23343,,0.0518192,,,,,,,,,,,
8,23158,,0.172697,,,,,,,,,,,
9,23129,,0.283652,,,,,,,,,,,
10,23129,,0.283652,,,,,,,,,,,
0,23129,,,0.283652,,,,,,,,,,
1,23129,,,0.283652,,,,,,,,,,
2,24003,,,0.283652,,,,,,,,,,
3,25795,,,0.283652,,,,,,,,,,
4,29075,,,0.283652,,,,,,,,,,
5,33801,,,0.283652,,,,,,,,,,
6,40274,,,0.283652,,,,,,,,,,
7,48283,,,0.283652,,,,,,,,,,
8,58175,,,0.283652,,,,,,,,,,
9,67711,,,0.283552,,,,,,,,,,
10,76605,,,0.282851,,,,,,,,,,
11,83578,,,0.277137,,,,,,,,,,
12,87990,,,0.246768,,,,,,,,,,
13,89950,,,0.123885,,,,,,,,,,
14,90179,,,0.0,,,,,,,,,,
0,25365,,,,0.283652,,,,,,,,,
0,83888,,,,,0.0135311,,,,,,,,
1,79189,,,,,0.0137316,,,,,,,,
2,75276,,,,,0.0140323,,,,,,,,
3,71942,,,,,0.0136314,,,,,,,,
4,69077,,,,,0.014333,,,,,,,,
5,66564,,,,,0.0149343,,,,,,,,
6,64378,,,,,0.0150346,,,,,,,,
7,62403,,,,,0.0146337,,,,,,,,
8,60705,,,,,0.0148341,,,,,,,,
9,59116,,,,,0.014333,,,,,,,,
0,86256,,,,,,0.0131302,,,,,,,
1,81731,,,,,,0.0125288,,,,,,,
2,77960,,,,,,0.0131302,,,,,,,
3,74769,,,,,,0.0132304,,,,,,,
4,72035,,,,,,0.0133307,,,,,,,
5,69664,,,,,,0.0131302,,,,,,,
6,67591,,,,,,0.0137316,,,,,,,
7,65761,,,,,,0.0138318,,,,,,,
8,64134,,,,,,0.0135311,,,,,,,
9,62678,,,,,,0.0132304,,,,,,,
0,77960,,,,,,,0.0153353,,,,,,
1,73435,,,,,,,0.0159367,,,,,,
2,69664,,,,,,,0.016939,,,,,,
3,66474,,,,,,,0.0162373,,,,,,
4,63739,,,,,,,0.0166383,,,,,,
5,61369,,,,,,,0.0158364,,,,,,
6,59295,,,,,,,0.0172397,,,,,,
7,57465,,,,,,,0.0176406,,,,,,
8,55838,,,,,,,0.016939,,,,,,
9,54383,,,,,,,0.0166383,,,,,,
0,69665,,,,,,,,0.019144,,,,,
1,65139,,,,,,,,0.020447,,,,,
2,61369,,,,,,,,0.0211486,,,,,
3,58178,,,,,,,,0.0203468,,,,,
4,55443,,,,,,,,0.0215496,,,,,
5,53073,,,,,,,,0.0213491,,,,,
6,50999,,,,,,,,0.0214493,,,,,
7,49169,,,,,,,,0.0226521,,,,,
8,47543,,,,,,,,0.023053,,,,,
9,46087,,,,,,,,0.0238549,,,,,
0,90858,,,,,,,,,0.0123284,,,,
1,86612,,,,,,,,,0.0122281,,,,
2,83073,,,,,,,,,0.0123284,,,,
3,80080,,,,,,,,,0.0123284,,,,
4,77513,,,,,,,,,0.0122281,,,,
5,75289,,,,,,,,,0.0123284,,,,
6,73343,,,,,,,,,0.0122281,,,,
7,71626,,,,,,,,,0.0123284,,,,
8,70100,,,,,,,,,0.0125288,,,,
9,68734,,,,,,,,,0.0124286,,,,
0,83074,,,,,,,,,,0.0123284,,,
1,78828,,,,,,,,,,0.0122281,,,
2,75289,,,,,,,,,,0.0123284,,,
3,72296,,,,,,,,,,0.0124286,,,
4,69729,,,,,,,,,,0.0122281,,,
5,67505,,,,,,,,,,0.0124286,,,
6,65559,,,,,,,,,,0.0123284,,,
7,63842,,,,,,,,,,0.0125288,,,
8,62316,,,,,,,,,,0.0125288,,,
9,60950,,,,,,,,,,0.0124286,,,
0,75290,,,,,,,,,,,0.0127293,,
1,71043,,,,,,,,,,,0.0125288,,
2,67505,,,,,,,,,,,0.012629,,
3,64511,,,,,,,,,,,0.0127293,,
4,61945,,,,,,,,,,,0.012629,,
5,59721,,,,,,,,,,,0.012629,,
6,57775,,,,,,,,,,,0.0128295,,
7,56058,,,,,,,,,,,0.0129297,,
8,54531,,,,,,,,,,,0.0131302,,
9,53166,,,,,,,,,,,0.0127293,,
0,25365,,,,0.283652,,,,,,,,,
1,26629,,,,0.283652,,,,,,,,,
2,27877,,,,0.283652,,,,,,,,,
3,29125,,,,0.283352,,,,,,,,,
4,30373,,,,0.283352,,,,,,,,,
5,31629,,,,0.181016,,,,,,,,,
6,32877,,,,0.0986268,,,,,,,,,
7,34125,,,,0.0586349,,,,,,,,,
8,35373,,,,0.0300692,,,,,,,,,
0,25365,,,,,,,,,,,,0.283652,
0,90806,,,,,,,,,,,,,0.0
