,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.98665,,,,,,,,,,,,
1,25034,0.901046,,,,,,,,,,,,
2,37534,0.795486,,,,,,,,,,,,
3,50034,0.700936,,,,,,,,,,,,
4,62534,0.597578,,,,,,,,,,,,
5,75034,0.527525,,,,,,,,,,,,
6,87534,0.474952,,,,,,,,,,,,
7,100034,0.438205,,,,,,,,,,,,
0,160535,,0.0,,,,,,,,,,,
1,147319,,0.150014,,,,,,,,,,,
2,120919,,0.412469,,,,,,,,,,,
3,107719,,0.525874,,,,,,,,,,,
4,75767,,0.711396,,,,,,,,,,,
5,49367,,0.861134,,,,,,,,,,,
6,36321,,0.925268,,,,,,,,,,,
7,19647,,0.982659,,,,,,,,,,,
8,19646,,0.982659,,,,,,,,,,,
9,19646,,0.982659,,,,,,,,,,,
10,19646,,0.982659,,,,,,,,,,,
0,19646,,,0.982659,,,,,,,,,,
1,19646,,,0.982659,,,,,,,,,,
2,19646,,,0.982659,,,,,,,,,,
3,19646,,,0.982659,,,,,,,,,,
4,19646,,,0.982659,,,,,,,,,,
5,19646,,,0.982659,,,,,,,,,,
6,19646,,,0.982659,,,,,,,,,,
7,19658,,,0.982521,,,,,,,,,,
8,19734,,,0.981833,,,,,,,,,,
9,20834,,,0.972199,,,,,,,,,,
10,30854,,,0.893889,,,,,,,,,,
11,108354,,,0.365538,,,,,,,,,,
12,160503,,,0.000137627,,,,,,,,,,
13,160535,,,0.0,,,,,,,,,,
14,160535,,,0.0,,,,,,,,,,
0,19598,,,,0.982659,,,,,,,,,
0,144666,,,,,0.458987,,,,,,,,
1,136578,,,,,0.464492,,,,,,,,
2,129804,,,,,0.480457,,,,,,,,
3,124055,,,,,0.487338,,,,,,,,
4,119074,,,,,0.487063,,,,,,,,
5,114726,,,,,0.496972,,,,,,,,
6,110954,,,,,0.507019,,,,,,,,
7,107576,,,,,0.511974,,,,,,,,
8,104606,,,,,0.522571,,,,,,,,
9,101882,,,,,0.523121,,,,,,,,
0,154419,,,,,,0.455822,,,,,,,
1,146957,,,,,,0.463942,,,,,,,
2,140738,,,,,,0.472475,,,,,,,
3,135476,,,,,,0.486788,,,,,,,
4,130966,,,,,,0.496697,,,,,,,
5,127057,,,,,,0.500275,,,,,,,
6,123637,,,,,,0.516653,,,,,,,
7,120619,,,,,,0.52725,,,,,,,
8,117937,,,,,,0.531104,,,,,,,
9,115537,,,,,,0.524773,,,,,,,
0,140738,,,,,,,0.54005,,,,,,
1,133276,,,,,,,0.545692,,,,,,
2,127057,,,,,,,0.554913,,,,,,
3,121795,,,,,,,0.567437,,,,,,
4,117285,,,,,,,0.579961,,,,,,
5,113377,,,,,,,0.58065,,,,,,
6,109956,,,,,,,0.594412,,,,,,
7,106939,,,,,,,0.608037,,,,,,
8,104256,,,,,,,0.611616,,,,,,
9,101856,,,,,,,0.609827,,,,,,
0,127058,,,,,,,,0.689926,,,,,
1,119595,,,,,,,,0.701762,,,,,
2,113376,,,,,,,,0.703276,,,,,
3,108114,,,,,,,,0.712084,,,,,
4,103604,,,,,,,,0.723094,,,,,
5,99696,,,,,,,,0.724333,,,,,
6,96275,,,,,,,,0.736031,,,,,
7,93258,,,,,,,,0.742499,,,,,
8,90575,,,,,,,,0.751032,,,,,
9,88175,,,,,,,,0.747729,,,,,
0,176304,,,,,,,,,0.455684,,,,
1,170168,,,,,,,,,0.463391,,,,
2,165055,,,,,,,,,0.472337,,,,
3,160728,,,,,,,,,0.477567,,,,
4,157019,,,,,,,,,0.483485,,,,
5,153805,,,,,,,,,0.502477,,,,
6,150993,,,,,,,,,0.496146,,,,
7,148512,,,,,,,,,0.509634,,,,
8,146306,,,,,,,,,0.517616,,,,
9,144332,,,,,,,,,0.519956,,,,
0,165055,,,,,,,,,,0.531792,,,
1,158919,,,,,,,,,,0.535508,,,
2,153806,,,,,,,,,,0.547344,,,
3,149479,,,,,,,,,,0.553812,,,
4,145770,,,,,,,,,,0.559317,,,
5,142556,,,,,,,,,,0.574043,,,
6,139744,,,,,,,,,,0.574043,,,
7,137262,,,,,,,,,,0.585742,,,
8,135057,,,,,,,,,,0.596339,,,
9,133083,,,,,,,,,,0.597027,,,
0,153806,,,,,,,,,,,0.669006,,
1,147669,,,,,,,,,,,0.671759,,
2,142556,,,,,,,,,,,0.684833,,
3,138230,,,,,,,,,,,0.687586,,
4,134521,,,,,,,,,,,0.691027,,
5,131307,,,,,,,,,,,0.704652,,
6,128495,,,,,,,,,,,0.703551,,
7,126013,,,,,,,,,,,0.713598,,
8,123807,,,,,,,,,,,0.720204,,
9,121834,,,,,,,,,,,0.721855,,
0,19598,,,,0.982659,,,,,,,,,
1,20854,,,,0.982659,,,,,,,,,
2,22102,,,,0.982659,,,,,,,,,
3,23350,,,,0.978805,,,,,,,,,
4,24598,,,,0.978805,,,,,,,,,
5,25854,,,,0.965318,,,,,,,,,
6,27102,,,,0.951418,,,,,,,,,
7,28350,,,,0.944123,,,,,,,,,
8,29598,,,,0.937792,,,,,,,,,
0,19598,,,,,,,,,,,,0.982659,
0,160503,,,,,,,,,,,,,0.0
