,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.98665,,,,,,,,
1,25034,0.901046,,,,,,,,
2,37534,0.795486,,,,,,,,
3,50034,0.700936,,,,,,,,
4,62534,0.597578,,,,,,,,
5,75034,0.527525,,,,,,,,
6,87534,0.474952,,,,,,,,
7,100034,0.438205,,,,,,,,
0,502881,,0.00522984,,,,,,,
1,1508426,,0.0,,,,,,,
2,2513945,,0.0,,,,,,,
3,3519463,,0.0,,,,,,,
4,4525011,,0.0,,,,,,,
0,319534,,,0.00522984,,,,,,
1,958360,,,0.0,,,,,,
2,1597184,,,0.0,,,,,,
3,2236011,,,0.0,,,,,,
4,2874804,,,0.0,,,,,,
0,136183,,,,0.00894577,,,,,
1,408289,,,,0.0,,,,,
2,680397,,,,0.0,,,,,
3,952525,,,,0.0,,,,,
4,1224629,,,,0.0,,,,,
0,160535,,,,,0.0,,,,
1,147319,,,,,0.150014,,,,
2,120919,,,,,0.412469,,,,
3,107719,,,,,0.525874,,,,
4,75767,,,,,0.711396,,,,
5,49367,,,,,0.861134,,,,
6,36321,,,,,0.925268,,,,
7,19647,,,,,0.982659,,,,
8,19646,,,,,0.982659,,,,
9,19646,,,,,0.982659,,,,
10,19646,,,,,0.982659,,,,
0,19646,,,,,,0.982659,,,
1,19646,,,,,,0.982659,,,
2,19646,,,,,,0.982659,,,
3,19646,,,,,,0.982659,,,
4,19646,,,,,,0.982659,,,
5,19646,,,,,,0.982659,,,
6,19646,,,,,,0.982659,,,
7,19658,,,,,,0.982521,,,
8,19734,,,,,,0.981833,,,
9,20834,,,,,,0.972199,,,
10,30854,,,,,,0.893889,,,
11,108354,,,,,,0.365538,,,
12,160503,,,,,,0.000137627,,,
13,160535,,,,,,0.0,,,
14,160535,,,,,,0.0,,,
0,19598,,,,,,,0.982659,,
0,19598,,,,,,,0.982659,,
1,20854,,,,,,,0.982659,,
2,22102,,,,,,,0.982659,,
3,23350,,,,,,,0.978805,,
4,24598,,,,,,,0.978805,,
5,25854,,,,,,,0.965318,,
6,27102,,,,,,,0.951418,,
7,28350,,,,,,,0.944123,,
8,29598,,,,,,,0.937792,,
0,19598,,,,,,,,0.982659,
0,160503,,,,,,,,,0.0
