,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.982678,,,,,,,,
1,25034,0.89345,,,,,,,,
2,37534,0.775109,,,,,,,,
3,50034,0.66492,,,,,,,,
4,62534,0.563028,,,,,,,,
5,75034,0.4754,,,,,,,,
6,87534,0.415721,,,,,,,,
7,100034,0.379913,,,,,,,,
0,502881,,0.011936,,,,,,,
1,1508426,,0.0,,,,,,,
2,2513945,,0.0,,,,,,,
3,3519463,,0.0,,,,,,,
4,4525011,,0.0,,,,,,,
0,319534,,,0.0129549,,,,,,
1,958360,,,0.0,,,,,,
2,1597184,,,0.0,,,,,,
3,2236011,,,0.0,,,,,,
4,2874804,,,0.0,,,,,,
0,136183,,,,0.0164483,,,,,
1,408289,,,,0.0,,,,,
2,680397,,,,0.0,,,,,
3,952525,,,,0.0,,,,,
4,1224629,,,,0.0,,,,,
0,160535,,,,,0.0,,,,
1,147319,,,,,1.0,,,,
2,120919,,,,,1.0,,,,
3,107719,,,,,1.0,,,,
4,75767,,,,,1.0,,,,
5,49367,,,,,1.0,,,,
6,36321,,,,,1.0,,,,
7,19647,,,,,1.0,,,,
8,19646,,,,,1.0,,,,
9,19646,,,,,1.0,,,,
10,19646,,,,,1.0,,,,
0,19646,,,,,,1.0,,,
1,19646,,,,,,1.0,,,
2,19646,,,,,,1.0,,,
3,19646,,,,,,1.0,,,
4,19646,,,,,,1.0,,,
5,19646,,,,,,1.0,,,
6,19646,,,,,,1.0,,,
7,19658,,,,,,0.999709,,,
8,19734,,,,,,0.999127,,,
9,20834,,,,,,0.988792,,,
10,30854,,,,,,0.905531,,,
11,108354,,,,,,0.360408,,,
12,160503,,,,,,0.0,,,
13,160535,,,,,,0.0,,,
14,160535,,,,,,0.0,,,
0,19598,,,,,,,1.0,,
0,19598,,,,,,,1.0,,
1,20854,,,,,,,1.0,,
2,22102,,,,,,,1.0,,
3,23350,,,,,,,1.0,,
4,24598,,,,,,,1.0,,
5,25854,,,,,,,1.0,,
6,27102,,,,,,,1.0,,
7,28350,,,,,,,1.0,,
8,29598,,,,,,,1.0,,
0,19598,,,,,,,,1.0,
0,160503,,,,,,,,,0.0
