,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.992306,,,,,,,,,,,,
1,25034,0.936283,,,,,,,,,,,,
2,37534,0.860784,,,,,,,,,,,,
3,50034,0.785044,,,,,,,,,,,,
4,62534,0.747295,,,,,,,,,,,,
5,75034,0.731185,,,,,,,,,,,,
6,87534,0.71724,,,,,,,,,,,,
7,100034,0.710026,,,,,,,,,,,,
0,90178,,0.0,,,,,,,,,,,
1,78546,,0.196201,,,,,,,,,,,
2,58237,,0.492426,,,,,,,,,,,
3,49209,,0.604953,,,,,,,,,,,
4,35939,,0.746333,,,,,,,,,,,
5,27628,,0.811493,,,,,,,,,,,
6,25292,,0.824958,,,,,,,,,,,
7,23417,,0.832893,,,,,,,,,,,
8,23253,,0.833614,,,,,,,,,,,
9,23247,,0.833614,,,,,,,,,,,
10,23247,,0.833614,,,,,,,,,,,
0,23247,,,0.833614,,,,,,,,,,
1,23247,,,0.833614,,,,,,,,,,
2,24116,,,0.8151,,,,,,,,,,
3,26004,,,0.7824,,,,,,,,,,
4,29469,,,0.72301,,,,,,,,,,
5,34526,,,0.642222,,,,,,,,,,
6,41178,,,0.54364,,,,,,,,,,
7,48798,,,0.44554,,,,,,,,,,
8,57850,,,0.338062,,,,,,,,,,
9,67120,,,0.230103,,,,,,,,,,
10,76355,,,0.132243,,,,,,,,,,
11,83657,,,0.0569849,,,,,,,,,,
12,88192,,,0.0156288,,,,,,,,,,
13,90072,,,0.000480885,,,,,,,,,,
14,90178,,,0.0,,,,,,,,,,
0,25546,,,,0.801635,,,,,,,,,
0,83889,,,,,0.777591,,,,,,,,
1,79210,,,,,0.787449,,,,,,,,
2,75301,,,,,0.787208,,,,,,,,
3,71905,,,,,0.785766,,,,,,,,
4,69010,,,,,0.798269,,,,,,,,
5,66533,,,,,0.798269,,,,,,,,
6,64324,,,,,0.804039,,,,,,,,
7,62362,,,,,0.812214,,,,,,,,
8,60690,,,,,0.817264,,,,,,,,
9,59095,,,,,0.824237,,,,,,,,
0,86250,,,,,,0.773022,,,,,,,
1,81726,,,,,,0.775908,,,,,,,
2,77956,,,,,,0.789372,,,,,,,
3,74766,,,,,,0.791777,,,,,,,
4,72032,,,,,,0.791056,,,,,,,
5,69662,,,,,,0.808608,,,,,,,
6,67589,,,,,,0.810291,,,,,,,
7,65759,,,,,,0.814619,,,,,,,
8,64133,,,,,,0.812936,,,,,,,
9,62678,,,,,,0.827843,,,,,,,
0,77956,,,,,,,0.823275,,,,,,
1,73432,,,,,,,0.825679,,,,,,
2,69662,,,,,,,0.838182,,,,,,
3,66472,,,,,,,0.838663,,,,,,
4,63738,,,,,,,0.840106,,,,,,
5,61368,,,,,,,0.855975,,,,,,
6,59295,,,,,,,0.854292,,,,,,
7,57465,,,,,,,0.856937,,,,,,
8,55839,,,,,,,0.85886,,,,,,
9,54384,,,,,,,0.868478,,,,,,
0,69663,,,,,,,,0.888194,,,,,
1,65139,,,,,,,,0.890839,,,,,
2,61368,,,,,,,,0.901659,,,,,
3,58179,,,,,,,,0.900216,,,,,
4,55444,,,,,,,,0.904544,,,,,
5,53074,,,,,,,,0.9132,,,,,
6,51001,,,,,,,,0.911998,,,,,
7,49171,,,,,,,,0.912479,,,,,
8,47545,,,,,,,,0.914162,,,,,
9,46090,,,,,,,,0.91825,,,,,
0,90889,,,,,,,,,0.776869,,,,
1,86645,,,,,,,,,0.780236,,,,
2,83110,,,,,,,,,0.782881,,,,
3,80118,,,,,,,,,0.786968,,,,
4,77554,,,,,,,,,0.792739,,,,
5,75331,,,,,,,,,0.801635,,,,
6,73387,,,,,,,,,0.811253,,,,
7,71671,,,,,,,,,0.813176,,,,
8,70146,,,,,,,,,0.812214,,,,
9,68781,,,,,,,,,0.828084,,,,
0,83110,,,,,,,,,,0.82616,,,
1,78867,,,,,,,,,,0.830729,,,
2,75331,,,,,,,,,,0.831931,,,
3,72340,,,,,,,,,,0.835537,,,
4,69775,,,,,,,,,,0.837701,,,
5,67553,,,,,,,,,,0.846838,,,
6,65608,,,,,,,,,,0.857177,,,
7,63892,,,,,,,,,,0.855975,,,
8,62367,,,,,,,,,,0.853571,,,
9,61003,,,,,,,,,,0.865112,,,
0,75332,,,,,,,,,,,0.887233,,
1,71088,,,,,,,,,,,0.892041,,
2,67553,,,,,,,,,,,0.892522,,
3,64561,,,,,,,,,,,0.892763,,
4,61997,,,,,,,,,,,0.893724,,
5,59774,,,,,,,,,,,0.900216,,
6,57830,,,,,,,,,,,0.913441,,
7,56114,,,,,,,,,,,0.904544,,
8,54589,,,,,,,,,,,0.906949,,
9,53224,,,,,,,,,,,0.918009,,
0,25546,,,,0.801635,,,,,,,,,
1,26810,,,,0.801635,,,,,,,,,
2,28058,,,,0.801635,,,,,,,,,
3,29306,,,,0.794422,,,,,,,,,
4,30554,,,,0.794422,,,,,,,,,
5,31802,,,,0.753787,,,,,,,,,
6,33050,,,,0.716999,,,,,,,,,
7,34306,,,,0.696562,,,,,,,,,
8,35554,,,,0.681173,,,,,,,,,
0,25546,,,,,,,,,,,,0.801635,
0,90817,,,,,,,,,,,,,0.0096177
