,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.187169,,,,,,,,,,,,
1,25034,0.121032,,,,,,,,,,,,
2,37534,0.0957892,,,,,,,,,,,,
3,50034,0.0816799,,,,,,,,,,,,
4,62534,0.0681217,,,,,,,,,,,,
5,75034,0.0618386,,,,,,,,,,,,
6,87534,0.0599647,,,,,,,,,,,,
7,100034,0.0580908,,,,,,,,,,,,
0,90178,,0.0333995,,,,,,,,,,,
1,78546,,0.0622795,,,,,,,,,,,
2,58237,,0.13481,,,,,,,,,,,
3,49209,,0.188051,,,,,,,,,,,
4,35939,,0.277227,,,,,,,,,,,
5,27628,,0.362324,,,,,,,,,,,
6,25292,,0.39407,,,,,,,,,,,
7,23417,,0.429453,,,,,,,,,,,
8,23253,,0.433752,,,,,,,,,,,
9,23247,,0.434414,,,,,,,,,,,
10,23247,,0.434414,,,,,,,,,,,
0,23247,,,0.434414,,,,,,,,,,
1,23247,,,0.434414,,,,,,,,,,
2,24116,,,0.42317,,,,,,,,,,
3,26004,,,0.406085,,,,,,,,,,
4,29469,,,0.37974,,,,,,,,,,
5,34526,,,0.342041,,,,,,,,,,
6,41178,,,0.295414,,,,,,,,,,
7,48798,,,0.249449,,,,,,,,,,
8,57850,,,0.200287,,,,,,,,,,
9,67120,,,0.151014,,,,,,,,,,
10,76355,,,0.103726,,,,,,,,,,
11,83657,,,0.0664683,,,,,,,,,,
12,88192,,,0.0449735,,,,,,,,,,
13,90072,,,0.0349427,,,,,,,,,,
14,90178,,,0.0333995,,,,,,,,,,
0,25546,,,,0.415785,,,,,,,,,
0,83889,,,,,0.095679,,,,,,,,
1,79210,,,,,0.0960097,,,,,,,,
2,75301,,,,,0.0978836,,,,,,,,
3,71905,,,,,0.0987654,,,,,,,,
4,69010,,,,,0.0987654,,,,,,,,
5,66533,,,,,0.0983245,,,,,,,,
6,64324,,,,,0.098545,,,,,,,,
7,62362,,,,,0.099537,,,,,,,,
8,60690,,,,,0.10097,,,,,,,,
9,59095,,,,,0.099537,,,,,,,,
0,86250,,,,,,0.095679,,,,,,,
1,81726,,,,,,0.0961199,,,,,,,
2,77956,,,,,,0.0967813,,,,,,,
3,74766,,,,,,0.0967813,,,,,,,
4,72032,,,,,,0.0973325,,,,,,,
5,69662,,,,,,0.0976631,,,,,,,
6,67589,,,,,,0.099978,,,,,,,
7,65759,,,,,,0.0983245,,,,,,,
8,64133,,,,,,0.0996473,,,,,,,
9,62678,,,,,,0.102513,,,,,,,
0,77956,,,,,,,0.107804,,,,,,
1,73432,,,,,,,0.109788,,,,,,
2,69662,,,,,,,0.110229,,,,,,
3,66472,,,,,,,0.113095,,,,,,
4,63738,,,,,,,0.111662,,,,,,
5,61368,,,,,,,0.111221,,,,,,
6,59295,,,,,,,0.114749,,,,,,
7,57465,,,,,,,0.112765,,,,,,
8,55839,,,,,,,0.116623,,,,,,
9,54384,,,,,,,0.118717,,,,,,
0,69663,,,,,,,,0.128307,,,,,
1,65139,,,,,,,,0.132275,,,,,
2,61368,,,,,,,,0.132385,,,,,
3,58179,,,,,,,,0.138338,,,,,
4,55444,,,,,,,,0.137676,,,,,
5,53074,,,,,,,,0.137787,,,,,
6,51001,,,,,,,,0.141093,,,,,
7,49171,,,,,,,,0.139771,,,,,
8,47545,,,,,,,,0.146825,,,,,
9,46090,,,,,,,,0.149691,,,,,
0,90889,,,,,,,,,0.0961199,,,,
1,86645,,,,,,,,,0.0944665,,,,
2,83110,,,,,,,,,0.0966711,,,,
3,80118,,,,,,,,,0.0978836,,,,
4,77554,,,,,,,,,0.0986552,,,,
5,75331,,,,,,,,,0.0993166,,,,
6,73387,,,,,,,,,0.0998677,,,,
7,71671,,,,,,,,,0.102183,,,,
8,70146,,,,,,,,,0.102293,,,,
9,68781,,,,,,,,,0.104497,,,,
0,83110,,,,,,,,,,0.109347,,,
1,78867,,,,,,,,,,0.108355,,,
2,75331,,,,,,,,,,0.109899,,,
3,72340,,,,,,,,,,0.11067,,,
4,69775,,,,,,,,,,0.112765,,,
5,67553,,,,,,,,,,0.114418,,,
6,65608,,,,,,,,,,0.116292,,,
7,63892,,,,,,,,,,0.117615,,,
8,62367,,,,,,,,,,0.117835,,,
9,61003,,,,,,,,,,0.119158,,,
0,75332,,,,,,,,,,,0.131173,,
1,71088,,,,,,,,,,,0.132716,,
2,67553,,,,,,,,,,,0.133818,,
3,64561,,,,,,,,,,,0.134921,,
4,61997,,,,,,,,,,,0.137125,,
5,59774,,,,,,,,,,,0.140983,,
6,57830,,,,,,,,,,,0.142196,,
7,56114,,,,,,,,,,,0.146384,,
8,54589,,,,,,,,,,,0.145503,,
9,53224,,,,,,,,,,,0.147707,,
0,25546,,,,0.415785,,,,,,,,,
1,26810,,,,0.415785,,,,,,,,,
2,28058,,,,0.415785,,,,,,,,,
3,29306,,,,0.403329,,,,,,,,,
4,30554,,,,0.403329,,,,,,,,,
5,31802,,,,0.339506,,,,,,,,,
6,33050,,,,0.277337,,,,,,,,,
7,34306,,,,0.243607,,,,,,,,,
8,35554,,,,0.226631,,,,,,,,,
0,25546,,,,,,,,,,,,0.415785,
0,90817,,,,,,,,,,,,,0.0421076
