,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.99962,,,,,,,,,,,,
1,25034,0.988597,,,,,,,,,,,,
2,37534,0.95477,,,,,,,,,,,,
3,50034,0.902699,,,,,,,,,,,,
4,62534,0.857089,,,,,,,,,,,,
5,75034,0.803497,,,,,,,,,,,,
6,87534,0.77271,,,,,,,,,,,,
7,100034,0.747244,,,,,,,,,,,,
0,160540,,0.0,,,,,,,,,,,
1,147324,,1.0,,,,,,,,,,,
2,120924,,1.0,,,,,,,,,,,
3,107724,,1.0,,,,,,,,,,,
4,75772,,1.0,,,,,,,,,,,
5,49362,,1.0,,,,,,,,,,,
6,36326,,1.0,,,,,,,,,,,
7,19603,,1.0,,,,,,,,,,,
8,19603,,1.0,,,,,,,,,,,
9,19603,,1.0,,,,,,,,,,,
10,19603,,1.0,,,,,,,,,,,
0,19603,,,1.0,,,,,,,,,,
1,19603,,,1.0,,,,,,,,,,
2,19603,,,1.0,,,,,,,,,,
3,19603,,,1.0,,,,,,,,,,
4,19603,,,1.0,,,,,,,,,,
5,19603,,,1.0,,,,,,,,,,
6,19603,,,1.0,,,,,,,,,,
7,19603,,,1.0,,,,,,,,,,
8,19621,,,0.99962,,,,,,,,,,
9,20921,,,0.987837,,,,,,,,,,
10,31360,,,0.895097,,,,,,,,,,
11,107298,,,0.36298,,,,,,,,,,
12,160540,,,0.0,,,,,,,,,,
13,160540,,,0.0,,,,,,,,,,
14,160540,,,0.0,,,,,,,,,,
0,19555,,,,1.0,,,,,,,,,
0,144695,,,,,0.751045,,,,,,,,
1,136522,,,,,0.761498,,,,,,,,
2,129818,,,,,0.767009,,,,,,,,
3,124002,,,,,0.77366,,,,,,,,
4,119070,,,,,0.782782,,,,,,,,
5,114750,,,,,0.791904,,,,,,,,
6,110962,,,,,0.793615,,,,,,,,
7,107618,,,,,0.806347,,,,,,,,
8,104675,,,,,0.802166,,,,,,,,
9,101981,,,,,0.814709,,,,,,,,
0,154458,,,,,,0.757317,,,,,,,
1,146997,,,,,,0.77062,,,,,,,
2,140780,,,,,,0.775751,,,,,,,
3,135520,,,,,,0.778981,,,,,,,
4,131010,,,,,,0.785823,,,,,,,
5,127102,,,,,,0.792094,,,,,,,
6,123683,,,,,,0.802357,,,,,,,
7,120666,,,,,,0.805017,,,,,,,
8,117984,,,,,,0.81604,,,,,,,
9,115584,,,,,,0.82022,,,,,,,
0,140780,,,,,,,0.807488,,,,,,
1,133319,,,,,,,0.81794,,,,,,
2,127102,,,,,,,0.822311,,,,,,
3,121842,,,,,,,0.828202,,,,,,
4,117332,,,,,,,0.831623,,,,,,
5,113425,,,,,,,0.834094,,,,,,
6,110005,,,,,,,0.847206,,,,,,
7,106988,,,,,,,0.849297,,,,,,
8,104306,,,,,,,0.857849,,,,,,
9,101906,,,,,,,0.861079,,,,,,
0,127103,,,,,,,,0.885215,,,,,
1,119642,,,,,,,,0.889586,,,,,
2,113424,,,,,,,,0.890346,,,,,
3,108164,,,,,,,,0.898328,,,,,
4,103655,,,,,,,,0.898138,,,,,
5,99747,,,,,,,,0.904979,,,,,
6,96327,,,,,,,,0.91049,,,,,
7,93310,,,,,,,,0.91125,,,,,
8,90628,,,,,,,,0.918472,,,,,
9,88229,,,,,,,,0.922273,,,,,
0,176310,,,,,,,,,0.763208,,,,
1,170174,,,,,,,,,0.77252,,,,
2,165060,,,,,,,,,0.77442,,,,
3,160734,,,,,,,,,0.782972,,,,
4,157024,,,,,,,,,0.785823,,,,
5,153810,,,,,,,,,0.798746,,,,
6,150998,,,,,,,,,0.794755,,,,
7,148516,,,,,,,,,0.808818,,,,
8,146310,,,,,,,,,0.808628,,,,
9,144337,,,,,,,,,0.811669,,,,
0,165060,,,,,,,,,,0.811098,,,
1,158924,,,,,,,,,,0.821171,,,
2,153810,,,,,,,,,,0.824971,,,
3,149484,,,,,,,,,,0.829723,,,
4,145775,,,,,,,,,,0.835804,,,
5,142560,,,,,,,,,,0.841885,,,
6,139748,,,,,,,,,,0.838655,,,
7,137267,,,,,,,,,,0.854048,,,
8,135060,,,,,,,,,,0.853098,,,
9,133087,,,,,,,,,,0.855378,,,
0,153811,,,,,,,,,,,0.885405,,
1,147674,,,,,,,,,,,0.890156,,
2,142561,,,,,,,,,,,0.894717,,
3,138234,,,,,,,,,,,0.902128,,
4,134525,,,,,,,,,,,0.901938,,
5,131311,,,,,,,,,,,0.906689,,
6,128498,,,,,,,,,,,0.90935,,
7,126017,,,,,,,,,,,0.911631,,
8,123811,,,,,,,,,,,0.913531,,
9,121837,,,,,,,,,,,0.915431,,
0,19555,,,,1.0,,,,,,,,,
1,20811,,,,1.0,,,,,,,,,
2,22059,,,,1.0,,,,,,,,,
3,23307,,,,1.0,,,,,,,,,
4,24555,,,,1.0,,,,,,,,,
5,25811,,,,1.0,,,,,,,,,
6,27059,,,,1.0,,,,,,,,,
7,28307,,,,1.0,,,,,,,,,
8,29555,,,,1.0,,,,,,,,,
0,19555,,,,,,,,,,,,1.0,
0,160508,,,,,,,,,,,,,0.0
