,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.0287029,,,,,,,,,,,,
1,25034,0.00050005,,,,,,,,,,,,
2,37534,0.0,,,,,,,,,,,,
3,50034,0.0,,,,,,,,,,,,
4,62534,0.0,,,,,,,,,,,,
5,75034,0.0,,,,,,,,,,,,
6,87534,0.0,,,,,,,,,,,,
7,100034,0.0,,,,,,,,,,,,
0,160540,,0.0,,,,,,,,,,,
1,147324,,0.0,,,,,,,,,,,
2,120924,,0.0,,,,,,,,,,,
3,107724,,0.0,,,,,,,,,,,
4,75772,,0.0,,,,,,,,,,,
5,49362,,0.00110011,,,,,,,,,,,
6,36326,,0.00860086,,,,,,,,,,,
7,19603,,0.424642,,,,,,,,,,,
8,19603,,0.424642,,,,,,,,,,,
9,19603,,0.424642,,,,,,,,,,,
10,19603,,0.424642,,,,,,,,,,,
0,19603,,,0.424642,,,,,,,,,,
1,19603,,,0.424642,,,,,,,,,,
2,19603,,,0.424642,,,,,,,,,,
3,19603,,,0.424642,,,,,,,,,,
4,19603,,,0.424642,,,,,,,,,,
5,19603,,,0.424642,,,,,,,,,,
6,19603,,,0.424642,,,,,,,,,,
7,19603,,,0.424642,,,,,,,,,,
8,19621,,,0.424642,,,,,,,,,,
9,20921,,,0.424542,,,,,,,,,,
10,31360,,,0.423842,,,,,,,,,,
11,107298,,,0.370537,,,,,,,,,,
12,160540,,,0.0,,,,,,,,,,
13,160540,,,0.0,,,,,,,,,,
14,160540,,,0.0,,,,,,,,,,
0,19555,,,,0.424642,,,,,,,,,
0,144695,,,,,0.0,,,,,,,,
1,136522,,,,,0.0,,,,,,,,
2,129818,,,,,0.0,,,,,,,,
3,124002,,,,,0.0,,,,,,,,
4,119070,,,,,0.0,,,,,,,,
5,114750,,,,,0.0,,,,,,,,
6,110962,,,,,0.0,,,,,,,,
7,107618,,,,,0.0,,,,,,,,
8,104675,,,,,0.0,,,,,,,,
9,101981,,,,,0.0,,,,,,,,
0,154458,,,,,,0.0,,,,,,,
1,146997,,,,,,0.0,,,,,,,
2,140780,,,,,,0.0,,,,,,,
3,135520,,,,,,0.0,,,,,,,
4,131010,,,,,,0.0,,,,,,,
5,127102,,,,,,0.0,,,,,,,
6,123683,,,,,,0.0,,,,,,,
7,120666,,,,,,0.0,,,,,,,
8,117984,,,,,,0.0,,,,,,,
9,115584,,,,,,0.0,,,,,,,
0,140780,,,,,,,0.0,,,,,,
1,133319,,,,,,,0.0,,,,,,
2,127102,,,,,,,0.0,,,,,,
3,121842,,,,,,,0.0,,,,,,
4,117332,,,,,,,0.0,,,,,,
5,113425,,,,,,,0.0,,,,,,
6,110005,,,,,,,0.0,,,,,,
7,106988,,,,,,,0.0,,,,,,
8,104306,,,,,,,0.0,,,,,,
9,101906,,,,,,,0.0,,,,,,
0,127103,,,,,,,,0.0,,,,,
1,119642,,,,,,,,0.0,,,,,
2,113424,,,,,,,,0.0,,,,,
3,108164,,,,,,,,0.0,,,,,
4,103655,,,,,,,,0.0,,,,,
5,99747,,,,,,,,0.0,,,,,
6,96327,,,,,,,,0.0,,,,,
7,93310,,,,,,,,0.0,,,,,
8,90628,,,,,,,,0.0,,,,,
9,88229,,,,,,,,0.00010001,,,,,
0,176310,,,,,,,,,0.0,,,,
1,170174,,,,,,,,,0.0,,,,
2,165060,,,,,,,,,0.0,,,,
3,160734,,,,,,,,,0.0,,,,
4,157024,,,,,,,,,0.0,,,,
5,153810,,,,,,,,,0.0,,,,
6,150998,,,,,,,,,0.0,,,,
7,148516,,,,,,,,,0.0,,,,
8,146310,,,,,,,,,0.0,,,,
9,144337,,,,,,,,,0.0,,,,
0,165060,,,,,,,,,,0.0,,,
1,158924,,,,,,,,,,0.0,,,
2,153810,,,,,,,,,,0.0,,,
3,149484,,,,,,,,,,0.0,,,
4,145775,,,,,,,,,,0.0,,,
5,142560,,,,,,,,,,0.0,,,
6,139748,,,,,,,,,,0.0,,,
7,137267,,,,,,,,,,0.0,,,
8,135060,,,,,,,,,,0.0,,,
9,133087,,,,,,,,,,0.0,,,
0,153811,,,,,,,,,,,0.0,,
1,147674,,,,,,,,,,,0.0,,
2,142561,,,,,,,,,,,0.0,,
3,138234,,,,,,,,,,,0.0,,
4,134525,,,,,,,,,,,0.0,,
5,131311,,,,,,,,,,,0.0,,
6,128498,,,,,,,,,,,0.0,,
7,126017,,,,,,,,,,,0.0,,
8,123811,,,,,,,,,,,0.0,,
9,121837,,,,,,,,,,,0.0,,
0,19555,,,,0.424642,,,,,,,,,
1,20811,,,,0.424642,,,,,,,,,
2,22059,,,,0.424642,,,,,,,,,
3,23307,,,,0.424642,,,,,,,,,
4,24555,,,,0.424642,,,,,,,,,
5,25811,,,,0.289529,,,,,,,,,
6,27059,,,,0.153215,,,,,,,,,
7,28307,,,,0.0827083,,,,,,,,,
8,29555,,,,0.0424042,,,,,,,,,
0,19555,,,,,,,,,,,,0.424642,
0,160508,,,,,,,,,,,,,0.0
