,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.988914,,,,,,,,,,
1,25034,0.938376,,,,,,,,,,
2,37534,0.882621,,,,,,,,,,
3,50034,0.848875,,,,,,,,,,
4,62534,0.831757,,,,,,,,,,
5,75034,0.821161,,,,,,,,,,
6,87534,0.8179,,,,,,,,,,
7,100034,0.816759,,,,,,,,,,
0,59675,,0.0417346,,,,,,,,,
1,89443,,0.00358657,,,,,,,,,
2,119217,,0.000326052,,,,,,,,,
3,148984,,0.0,,,,,,,,,
4,178761,,0.0,,,,,,,,,
5,208532,,0.0,,,,,,,,,
0,74939,,,0.0,,,,,,,,
1,73328,,,0.149332,,,,,,,,
2,70086,,,0.149332,,,,,,,,
3,51686,,,0.554777,,,,,,,,
4,47549,,,0.554777,,,,,,,,
5,25949,,,0.852299,,,,,,,,
6,19625,,,0.852299,,,,,,,,
7,18601,,,0.852299,,,,,,,,
8,17985,,,0.857515,,,,,,,,
9,17909,,,0.857515,,,,,,,,
10,17909,,,0.857515,,,,,,,,
0,17909,,,,0.857515,,,,,,,
1,17909,,,,0.857515,,,,,,,
2,17909,,,,0.857515,,,,,,,
3,17909,,,,0.857515,,,,,,,
4,17912,,,,0.857352,,,,,,,
5,17935,,,,0.856537,,,,,,,
6,18087,,,,0.853114,,,,,,,
7,18939,,,,0.835833,,,,,,,
8,21420,,,,0.790023,,,,,,,
9,31146,,,,0.618357,,,,,,,
10,47769,,,,0.363547,,,,,,,
11,62011,,,,0.160906,,,,,,,
12,70902,,,,0.0487447,,,,,,,
13,74126,,,,0.00929247,,,,,,,
14,74783,,,,0.00130421,,,,,,,
0,48261,,,,,0.831594,,,,,,
1,43673,,,,,0.836648,,,,,,
2,40920,,,,,0.836811,,,,,,
3,39085,,,,,0.843495,,,,,,
4,37774,,,,,0.84431,,,,,,
5,36791,,,,,0.845941,,,,,,
0,48261,,,,,,0.831594,,,,,
1,43673,,,,,,0.836648,,,,,
2,40920,,,,,,0.836811,,,,,
3,39085,,,,,,0.843495,,,,,
4,37774,,,,,,0.84431,,,,,
5,36791,,,,,,0.845941,,,,,
0,60033,,,,,,,,,0.149332,,
1,61289,,,,,,,,,0.149332,,
2,62537,,,,,,,,,0.149332,,
3,63785,,,,,,,,,0.149332,,
4,65033,,,,,,,,,0.149332,,
5,66289,,,,,,,,,0.149332,,
6,67537,,,,,,,,,0.149332,,
7,68785,,,,,,,,,0.149332,,
8,70033,,,,,,,,,0.149332,,
0,60033,,,,,,,,,,0.149332,
0,74907,,,,,,,,,,,0.0
