,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.145838,,,,,,,,,,
1,25034,0.0455366,,,,,,,,,,
2,37534,0.0249749,,,,,,,,,,
3,50034,0.0137412,,,,,,,,,,
4,62534,0.0107322,,,,,,,,,,
5,75034,0.00922768,,,,,,,,,,
6,87534,0.00732197,,,,,,,,,,
7,100034,0.00692076,,,,,,,,,,
0,57275,,0.0293882,,,,,,,,,
1,85852,,0.00270812,,,,,,,,,
2,114429,,0.000300903,,,,,,,,,
3,143006,,0.0,,,,,,,,,
4,171580,,0.0,,,,,,,,,
5,200163,,0.0,,,,,,,,,
0,88291,,,0.0,,,,,,,,
1,77012,,,0.0,,,,,,,,
2,57007,,,0.0,,,,,,,,
3,48332,,,0.0,,,,,,,,
4,35044,,,0.0,,,,,,,,
5,26766,,,0.0,,,,,,,,
6,24446,,,0.00170512,,,,,,,,
7,22553,,,0.0498495,,,,,,,,
8,22391,,,0.161083,,,,,,,,
9,22385,,,0.216048,,,,,,,,
10,22385,,,0.216048,,,,,,,,
0,22385,,,,0.216048,,,,,,,
1,22385,,,,0.216048,,,,,,,
2,23215,,,,0.216048,,,,,,,
3,25033,,,,0.216048,,,,,,,
4,28354,,,,0.216048,,,,,,,
5,33179,,,,0.216048,,,,,,,
6,39568,,,,0.216048,,,,,,,
7,47134,,,,0.216048,,,,,,,
8,56132,,,,0.216048,,,,,,,
9,65321,,,,0.216048,,,,,,,
10,74491,,,,0.215647,,,,,,,
11,81787,,,,0.210832,,,,,,,
12,86349,,,,0.179739,,,,,,,
13,88193,,,,0.0618857,,,,,,,
14,88291,,,,0.0,,,,,,,
0,46922,,,,,0.147944,,,,,,
1,44092,,,,,0.147944,,,,,,
2,42394,,,,,0.147944,,,,,,
3,41261,,,,,0.147944,,,,,,
4,40453,,,,,0.147944,,,,,,
5,39846,,,,,0.147944,,,,,,
0,46922,,,,,,0.147944,,,,,
1,44092,,,,,,0.147944,,,,,
2,42394,,,,,,0.147944,,,,,
3,41261,,,,,,0.147944,,,,,
4,40453,,,,,,0.147944,,,,,
5,39846,,,,,,0.147944,,,,,
0,22706,,,,,,,,,0.216048,,
1,23850,,,,,,,,,0.216048,,
2,24978,,,,,,,,,0.216048,,
3,26114,,,,,,,,,0.216048,,
4,27242,,,,,,,,,0.216048,,
5,28378,,,,,,,,,0.144333,,
6,29506,,,,,,,,,0.080341,,
7,30634,,,,,,,,,0.0454363,,
8,31770,,,,,,,,,0.0232698,,
0,22706,,,,,,,,,,0.216048,
0,88259,,,,,,,,,,,0.0
