,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.188733,,,,,,,,,,
1,25034,0.125052,,,,,,,,,,
2,37534,0.093055,,,,,,,,,,
3,50034,0.0745909,,,,,,,,,,
4,62534,0.0605329,,,,,,,,,,
5,75034,0.0547629,,,,,,,,,,
6,87534,0.0521402,,,,,,,,,,
7,100034,0.050042,,,,,,,,,,
0,57275,,0.181389,,,,,,,,,
1,85852,,0.111939,,,,,,,,,
2,114429,,0.10407,,,,,,,,,
3,143006,,0.103231,,,,,,,,,
4,171580,,0.103231,,,,,,,,,
5,200163,,0.103231,,,,,,,,,
0,88291,,,0.103231,,,,,,,,
1,77012,,,0.128829,,,,,,,,
2,57007,,,0.196391,,,,,,,,
3,48332,,,0.238355,,,,,,,,
4,35044,,,0.323961,,,,,,,,
5,26766,,,0.403588,,,,,,,,
6,24446,,,0.433697,,,,,,,,
7,22553,,,0.467478,,,,,,,,
8,22391,,,0.471465,,,,,,,,
9,22385,,,0.472094,,,,,,,,
10,22385,,,0.472094,,,,,,,,
0,22385,,,,0.472094,,,,,,,
1,22385,,,,0.472094,,,,,,,
2,23215,,,,0.461183,,,,,,,
3,25033,,,,0.445342,,,,,,,
4,28354,,,,0.418905,,,,,,,
5,33179,,,,0.385019,,,,,,,
6,39568,,,,0.34851,,,,,,,
7,47134,,,,0.306337,,,,,,,
8,56132,,,,0.259757,,,,,,,
9,65321,,,,0.213596,,,,,,,
10,74491,,,,0.170164,,,,,,,
11,81787,,,,0.134704,,,,,,,
12,86349,,,,0.114142,,,,,,,
13,88193,,,,0.1047,,,,,,,
14,88291,,,,0.103231,,,,,,,
0,46922,,,,,0.148028,,,,,,
1,44092,,,,,0.148762,,,,,,
2,42394,,,,,0.15107,,,,,,
3,41261,,,,,0.155896,,,,,,
4,40453,,,,,0.15705,,,,,,
5,39846,,,,,0.15747,,,,,,
0,46922,,,,,,0.148028,,,,,
1,44092,,,,,,0.148762,,,,,
2,42394,,,,,,0.15107,,,,,
3,41261,,,,,,0.155896,,,,,
4,40453,,,,,,0.15705,,,,,
5,39846,,,,,,0.15747,,,,,
0,22706,,,,,,,,,0.467898,,
1,23850,,,,,,,,,0.467898,,
2,24978,,,,,,,,,0.467898,,
3,26114,,,,,,,,,0.401909,,
4,27242,,,,,,,,,0.401909,,
5,28378,,,,,,,,,0.340432,,
6,29506,,,,,,,,,0.27885,,
7,30634,,,,,,,,,0.244335,,
8,31770,,,,,,,,,0.227235,,
0,22706,,,,,,,,,,0.467898,
0,88259,,,,,,,,,,,0.103231
