,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.933695,,,,,,,,
1,25034,0.86739,,,,,,,,
2,37534,0.774493,,,,,,,,
3,50034,0.695066,,,,,,,,
4,62534,0.657803,,,,,,,,
5,75034,0.63296,,,,,,,,
6,87534,0.61704,,,,,,,,
7,100034,0.613016,,,,,,,,
0,81381,,0.248251,,,,,,,
1,122011,,0.205038,,,,,,,
2,162638,,0.198041,,,,,,,
3,203273,,0.197866,,,,,,,
4,243899,,0.197691,,,,,,,
5,284535,,0.197691,,,,,,,
0,57275,,,0.263996,,,,,,
1,85852,,,0.207138,,,,,,
2,114429,,,0.198041,,,,,,
3,143006,,,0.197866,,,,,,
4,171580,,,0.197691,,,,,,
5,200163,,,0.197691,,,,,,
0,33171,,,,0.313681,,,,,
1,49693,,,,0.215185,,,,,
2,66217,,,,0.199265,,,,,
3,82741,,,,0.197866,,,,,
4,99265,,,,0.197691,,,,,
5,115794,,,,0.197691,,,,,
0,88291,,,,,0.197691,,,,
1,77012,,,,,0.985479,,,,
2,57007,,,,,0.985479,,,,
3,48332,,,,,0.988978,,,,
4,35044,,,,,0.988978,,,,
5,26766,,,,,0.989153,,,,
6,24446,,,,,0.989153,,,,
7,22553,,,,,0.989153,,,,
8,22391,,,,,0.989153,,,,
9,22385,,,,,0.989153,,,,
10,22385,,,,,0.989153,,,,
0,22385,,,,,,0.989153,,,
1,22385,,,,,,0.989153,,,
2,23215,,,,,,0.937894,,,
3,25033,,,,,,0.876662,,,
4,28354,,,,,,0.799685,,,
5,33179,,,,,,0.71746,,,
6,39568,,,,,,0.622988,,,
7,47134,,,,,,0.538314,,,
8,56132,,,,,,0.444542,,,
9,65321,,,,,,0.365465,,,
10,74491,,,,,,0.292162,,,
11,81787,,,,,,0.238803,,,
12,86349,,,,,,0.209062,,,
13,88193,,,,,,0.198041,,,
14,88291,,,,,,0.197691,,,
0,22706,,,,,,,0.985479,,
1,23850,,,,,,,0.985479,,
2,24978,,,,,,,0.985479,,
3,26114,,,,,,,0.873513,,
4,27242,,,,,,,0.873513,,
5,28378,,,,,,,0.854269,,
6,29506,,,,,,,0.837649,,
7,30634,,,,,,,0.828376,,
8,31770,,,,,,,0.820329,,
0,22706,,,,,,,,0.985479,
0,88259,,,,,,,,,0.197691
