,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.187169,,,,,,,,
1,25034,0.121032,,,,,,,,
2,37534,0.0957892,,,,,,,,
3,50034,0.0816799,,,,,,,,
4,62534,0.0681217,,,,,,,,
5,75034,0.0618386,,,,,,,,
6,87534,0.0599647,,,,,,,,
7,100034,0.0580908,,,,,,,,
0,77376,,0.962743,,,,,,,
1,115962,,0.734017,,,,,,,
2,154538,,0.162809,,,,,,,
3,193124,,0.0500441,,,,,,,
4,231715,,0.0277778,,,,,,,
5,270299,,0.0147707,,,,,,,
0,52683,,,0.993276,,,,,,
1,78925,,,0.955688,,,,,,
2,105166,,,0.826389,,,,,,
3,131405,,,0.519731,,,,,,
4,157636,,,0.107253,,,,,,
5,183877,,,0.0162037,,,,,,
0,27991,,,,0.99978,,,,,
1,41883,,,,0.997134,,,,,
2,55782,,,,0.991182,,,,,
3,69676,,,,0.974537,,,,,
4,83573,,,,0.948302,,,,,
5,97470,,,,0.893959,,,,,
0,90178,,,,,0.0333995,,,,
1,78546,,,,,0.0622795,,,,
2,58237,,,,,0.13481,,,,
3,49209,,,,,0.188051,,,,
4,35939,,,,,0.277227,,,,
5,27628,,,,,0.362324,,,,
6,25292,,,,,0.39407,,,,
7,23417,,,,,0.429453,,,,
8,23253,,,,,0.433752,,,,
9,23247,,,,,0.434414,,,,
10,23247,,,,,0.434414,,,,
0,23247,,,,,,0.434414,,,
1,23247,,,,,,0.434414,,,
2,24116,,,,,,0.42317,,,
3,26004,,,,,,0.406085,,,
4,29469,,,,,,0.37974,,,
5,34526,,,,,,0.342041,,,
6,41178,,,,,,0.295414,,,
7,48798,,,,,,0.249449,,,
8,57850,,,,,,0.200287,,,
9,67120,,,,,,0.151014,,,
10,76355,,,,,,0.103726,,,
11,83657,,,,,,0.0664683,,,
12,88192,,,,,,0.0449735,,,
13,90072,,,,,,0.0349427,,,
14,90178,,,,,,0.0333995,,,
0,25546,,,,,,,0.415785,,
0,25546,,,,,,,0.415785,,
1,26810,,,,,,,0.415785,,
2,28058,,,,,,,0.415785,,
3,29306,,,,,,,0.403329,,
4,30554,,,,,,,0.403329,,
5,31802,,,,,,,0.339506,,
6,33050,,,,,,,0.277337,,
7,34306,,,,,,,0.243607,,
8,35554,,,,,,,0.226631,,
0,25546,,,,,,,,0.415785,
0,90817,,,,,,,,,0.0421076
