,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,1.0,,,,,,,,,,
2,37534,0.999323,,,,,,,,,,
3,50034,0.998195,,,,,,,,,,
4,62534,0.996841,,,,,,,,,,
5,75034,0.996616,,,,,,,,,,
6,87534,0.995713,,,,,,,,,,
7,100034,0.995939,,,,,,,,,,
0,55651,,0.445623,,,,,,,,,
1,83414,,0.104693,,,,,,,,,
2,111179,,0.0232401,,,,,,,,,
3,138945,,0.004287,,,,,,,,,
4,166705,,0.00112816,,,,,,,,,
5,194470,,0.000225632,,,,,,,,,
0,127820,,,0.0,,,,,,,,
1,114604,,,1.0,,,,,,,,
2,84593,,,1.0,,,,,,,,
3,71478,,,1.0,,,,,,,,
4,46238,,,1.0,,,,,,,,
5,28315,,,1.0,,,,,,,,
6,24661,,,1.0,,,,,,,,
7,22991,,,1.0,,,,,,,,
8,22905,,,1.0,,,,,,,,
9,22818,,,1.0,,,,,,,,
10,22818,,,1.0,,,,,,,,
0,22818,,,,1.0,,,,,,,
1,22818,,,,1.0,,,,,,,
2,22826,,,,0.999774,,,,,,,
3,22854,,,,0.999097,,,,,,,
4,23029,,,,0.994585,,,,,,,
5,23653,,,,0.984431,,,,,,,
6,27087,,,,0.935244,,,,,,,
7,37465,,,,0.805505,,,,,,,
8,59736,,,,0.562726,,,,,,,
9,92314,,,,0.275271,,,,,,,
10,113151,,,,0.101083,,,,,,,
11,123335,,,,0.0252708,,,,,,,
12,125940,,,,0.00744585,,,,,,,
13,126804,,,,0.00135379,,,,,,,
14,127652,,,,0.000225632,,,,,,,
0,62807,,,,,0.977437,,,,,,
1,59683,,,,,0.978565,,,,,,
2,57808,,,,,0.977211,,,,,,
3,56557,,,,,0.979693,,,,,,
4,55664,,,,,0.982852,,,,,,
5,54995,,,,,0.983303,,,,,,
0,62807,,,,,,0.977437,,,,,
1,59683,,,,,,0.978565,,,,,
2,57808,,,,,,0.977211,,,,,
3,56557,,,,,,0.979693,,,,,
4,55664,,,,,,0.982852,,,,,
5,54995,,,,,,0.983303,,,,,
0,22782,,,,,,,,,1.0,,
1,24046,,,,,,,,,1.0,,
2,25294,,,,,,,,,1.0,,
3,26542,,,,,,,,,1.0,,
4,27790,,,,,,,,,1.0,,
5,29038,,,,,,,,,0.999774,,
6,30294,,,,,,,,,0.999774,,
7,31542,,,,,,,,,0.999774,,
8,32790,,,,,,,,,0.999774,,
0,22782,,,,,,,,,,1.0,
0,127788,,,,,,,,,,,0.0
