,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.224591,,,,,,,,,,
1,25034,0.095878,,,,,,,,,,
2,37534,0.0553647,,,,,,,,,,
3,50034,0.0379875,,,,,,,,,,
4,62534,0.0306122,,,,,,,,,,
5,75034,0.0239442,,,,,,,,,,
0,55651,,0.825116,,,,,,,,,
1,83414,,0.0316226,,,,,,,,,
2,111179,,0.00373813,,,,,,,,,
3,138945,,0.000707214,,,,,,,,,
4,166705,,0.000101031,,,,,,,,,
5,194470,,0.000303092,,,,,,,,,
0,127820,,,0.0,,,,,,,,
1,114604,,,0.0,,,,,,,,
2,84593,,,0.0,,,,,,,,
3,71478,,,0.0,,,,,,,,
4,46238,,,0.0,,,,,,,,
5,28315,,,0.000505153,,,,,,,,
6,24661,,,0.00151546,,,,,,,,
7,22991,,,0.0321277,,,,,,,,
8,22905,,,0.0897151,,,,,,,,
9,22818,,,0.284199,,,,,,,,
10,22818,,,0.284199,,,,,,,,
0,22818,,,,0.284199,,,,,,,
1,22818,,,,0.284199,,,,,,,
2,22826,,,,0.284199,,,,,,,
3,22854,,,,0.284199,,,,,,,
4,23029,,,,0.284199,,,,,,,
5,23653,,,,0.284199,,,,,,,
6,27087,,,,0.284199,,,,,,,
7,37465,,,,0.284199,,,,,,,
8,59736,,,,0.284199,,,,,,,
9,92314,,,,0.283997,,,,,,,
10,113151,,,,0.283391,,,,,,,
11,123335,,,,0.275005,,,,,,,
12,125940,,,,0.258941,,,,,,,
13,126804,,,,0.206102,,,,,,,
14,127652,,,,0.102748,,,,,,,
0,62807,,,,,0.174076,,,,,,
1,59683,,,,,0.174076,,,,,,
2,57808,,,,,0.174076,,,,,,
3,56557,,,,,0.174076,,,,,,
4,55664,,,,,0.174076,,,,,,
5,54995,,,,,0.174076,,,,,,
0,62807,,,,,,0.174076,,,,,
1,59683,,,,,,0.174076,,,,,
2,57808,,,,,,0.174076,,,,,
3,56557,,,,,,0.174076,,,,,
4,55664,,,,,,0.174076,,,,,
5,54995,,,,,,0.174076,,,,,
0,22782,,,,,,,,,0.284199,,
1,24046,,,,,,,,,0.284199,,
2,25294,,,,,,,,,0.284199,,
3,26542,,,,,,,,,0.284199,,
4,27790,,,,,,,,,0.284199,,
5,29038,,,,,,,,,0.215902,,
6,30294,,,,,,,,,0.110426,,
7,31542,,,,,,,,,0.0584967,,
8,32790,,,,,,,,,0.0293999,,
0,22782,,,,,,,,,,0.284199,
0,127788,,,,,,,,,,,0.0
