,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.696925,,,,,,,,,
1,25034,0.507216,,,,,,,,,
2,37534,0.258105,,,,,,,,,
3,50034,0.12466,,,,,,,,,
4,62534,0.058356,,,,,,,,,
5,75034,0.0198703,,,,,,,,,
6,87534,0.0100397,,,,,,,,,
7,100034,0.00606568,,,,,,,,,
0,57798,,0.0755072,,,,,,,,
1,86633,,0.00962142,,,,,,,,
2,115451,,0.00125497,,,,,,,,
3,144284,,0.00125497,,,,,,,,
4,173109,,0.0,,,,,,,,
5,201947,,0.0,,,,,,,,
0,75137,,,0.0,,,,,,,
1,73507,,,0.40891,,,,,,,
2,70231,,,0.40891,,,,,,,
3,51960,,,0.679983,,,,,,,
4,47853,,,0.679983,,,,,,,
5,25618,,,0.766576,,,,,,,
6,19108,,,0.830998,,,,,,,
7,18098,,,0.858607,,,,,,,
8,17425,,,0.87032,,,,,,,
9,17414,,,0.87032,,,,,,,
10,17414,,,0.87032,,,,,,,
0,17414,,,,0.87032,,,,,,
1,17414,,,,0.87032,,,,,,
2,17414,,,,0.87032,,,,,,
3,17414,,,,0.87032,,,,,,
4,17414,,,,0.87032,,,,,,
5,17460,,,,0.869065,,,,,,
6,17612,,,,0.864673,,,,,,
7,18365,,,,0.848567,,,,,,
8,20529,,,,0.804853,,,,,,
9,30242,,,,0.648609,,,,,,
10,47048,,,,0.388831,,,,,,
11,62361,,,,0.173604,,,,,,
12,71014,,,,0.0522903,,,,,,
13,74103,,,,0.00878477,,,,,,
14,74991,,,,0.00104581,,,,,,
0,59979,,,,,0.452416,,,,,
0,97152,,,,,,0.747333,,,,
1,69594,,,,,,0.747333,,,,
2,60407,,,,,,0.747333,,,,
3,55814,,,,,,0.747333,,,,
4,53058,,,,,,0.747333,,,,
0,120788,,,,,,,0.747333,,,
1,84421,,,,,,,0.747333,,,
2,72298,,,,,,,0.747333,,,
3,66237,,,,,,,0.747333,,,
4,62600,,,,,,,0.747333,,,
0,116162,,,,,,,,0.747333,,
1,79795,,,,,,,,0.747333,,
2,67672,,,,,,,,0.747333,,
3,61611,,,,,,,,0.747333,,
4,57974,,,,,,,,0.747333,,
0,59979,,,,,0.452416,,,,,
1,61243,,,,,0.452416,,,,,
2,62491,,,,,0.452416,,,,,
3,63739,,,,,0.452416,,,,,
4,64987,,,,,0.439866,,,,,
5,66243,,,,,0.428153,,,,,
6,67491,,,,,0.42397,,,,,
7,68739,,,,,0.423133,,,,,
8,69987,,,,,0.42146,,,,,
0,59979,,,,,,,,,0.452416,
0,75105,,,,,,,,,,0.0
