,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.0336034,,,,,,,,,
1,25034,0.00220022,,,,,,,,,
2,37534,0.00020002,,,,,,,,,
3,50034,0.0,,,,,,,,,
4,62534,0.0,,,,,,,,,
5,75034,0.0,,,,,,,,,
6,87534,0.0,,,,,,,,,
7,100034,0.0,,,,,,,,,
0,54538,,0.420342,,,,,,,,
1,81727,,0.152115,,,,,,,,
2,108926,,0.0491049,,,,,,,,
3,136115,,0.0164016,,,,,,,,
4,163309,,0.00510051,,,,,,,,
5,190504,,0.00120012,,,,,,,,
0,127602,,,0.0,,,,,,,
1,114404,,,0.0,,,,,,,
2,88036,,,0.00120012,,,,,,,
3,71561,,,0.00510051,,,,,,,
4,46352,,,0.0635064,,,,,,,
5,28428,,,0.317932,,,,,,,
6,24620,,,0.432543,,,,,,,
7,22855,,,0.505851,,,,,,,
8,22778,,,0.509351,,,,,,,
9,22772,,,0.509951,,,,,,,
10,22772,,,0.509951,,,,,,,
0,22772,,,,0.509951,,,,,,
1,22772,,,,0.509951,,,,,,
2,22774,,,,0.509951,,,,,,
3,22814,,,,0.509851,,,,,,
4,23008,,,,0.509851,,,,,,
5,23768,,,,0.509451,,,,,,
6,26999,,,,0.506151,,,,,,
7,37225,,,,0.485949,,,,,,
8,59902,,,,0.394339,,,,,,
9,91034,,,,0.237324,,,,,,
10,112756,,,,0.0969097,,,,,,
11,123150,,,,0.0276028,,,,,,
12,126298,,,,0.00480048,,,,,,
13,127102,,,,0.00070007,,,,,,
14,127602,,,,0.0,,,,,,
0,22765,,,,,0.509851,,,,,
0,109517,,,,,,0.00010001,,,,
1,90767,,,,,,0.00020002,,,,
2,84516,,,,,,0.00020002,,,,
3,81392,,,,,,0.00030003,,,,
4,79517,,,,,,0.00030003,,,,
0,158878,,,,,,,0.0,,,
1,121380,,,,,,,0.0,,,
2,108881,,,,,,,0.00010001,,,
3,102631,,,,,,,0.00020002,,,
4,98881,,,,,,,0.00030003,,,
0,149678,,,,,,,,0.0,,
1,112180,,,,,,,,0.0,,
2,99681,,,,,,,,0.00010001,,
3,93431,,,,,,,,0.00020002,,
4,89681,,,,,,,,0.00030003,,
0,22765,,,,,0.509851,,,,,
1,24029,,,,,0.509851,,,,,
2,25277,,,,,0.509851,,,,,
3,26525,,,,,0.509851,,,,,
4,27773,,,,,0.324032,,,,,
5,29021,,,,,0.227723,,,,,
6,30269,,,,,0.180218,,,,,
7,31525,,,,,0.152415,,,,,
8,32773,,,,,0.138014,,,,,
0,22765,,,,,,,,,0.509851,
0,127570,,,,,,,,,,0.0
