,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.0591118,,,,,,,,,
1,25034,0.00690138,,,,,,,,,
2,37534,0.00160032,,,,,,,,,
3,50034,0.00070014,,,,,,,,,
4,62534,0.00030006,,,,,,,,,
5,75034,0.00040008,,,,,,,,,
6,87534,0.00030006,,,,,,,,,
7,100034,0.00020004,,,,,,,,,
0,54528,,0.874375,,,,,,,,
1,81712,,0.365673,,,,,,,,
2,108909,,0.0164033,,,,,,,,
3,136097,,0.00560112,,,,,,,,
4,163284,,0.00140028,,,,,,,,
5,190478,,0.00090018,,,,,,,,
0,127773,,,0.0,,,,,,,
1,114573,,,0.0,,,,,,,
2,88209,,,0.0,,,,,,,
3,71781,,,0.0,,,,,,,
4,46570,,,0.0,,,,,,,
5,28602,,,0.0,,,,,,,
6,24771,,,0.0,,,,,,,
7,23000,,,0.00080016,,,,,,,
8,22928,,,0.00320064,,,,,,,
9,22922,,,0.0132026,,,,,,,
10,22922,,,0.0132026,,,,,,,
0,22922,,,,0.0132026,,,,,,
1,22922,,,,0.0132026,,,,,,
2,22932,,,,0.0132026,,,,,,
3,22972,,,,0.0132026,,,,,,
4,23142,,,,0.0132026,,,,,,
5,23926,,,,0.0132026,,,,,,
6,27071,,,,0.0132026,,,,,,
7,37199,,,,0.0132026,,,,,,
8,59873,,,,0.0132026,,,,,,
9,91023,,,,0.0132026,,,,,,
10,112642,,,,0.0132026,,,,,,
11,123536,,,,0.0131026,,,,,,
12,126537,,,,0.0126025,,,,,,
13,127269,,,,0.010102,,,,,,
14,127773,,,,0.0,,,,,,
0,22874,,,,,0.0132026,,,,,
0,85149,,,,,,0.00130026,,,,
1,82025,,,,,,0.00130026,,,,
2,80150,,,,,,0.00130026,,,,
3,78899,,,,,,0.00130026,,,,
4,78006,,,,,,0.00130026,,,,
5,77337,,,,,,0.00130026,,,,
0,74677,,,,,,,0.00220044,,,
1,71553,,,,,,,0.00220044,,,
2,69678,,,,,,,0.00220044,,,
3,68427,,,,,,,0.00220044,,,
4,67534,,,,,,,0.00220044,,,
5,66865,,,,,,,0.00220044,,,
0,64206,,,,,,,,0.00890178,,
1,61082,,,,,,,,0.00890178,,
2,59207,,,,,,,,0.00890178,,
3,57956,,,,,,,,0.00890178,,
4,57063,,,,,,,,0.00890178,,
5,56394,,,,,,,,0.00890178,,
0,22874,,,,,0.0132026,,,,,
1,24138,,,,,0.0132026,,,,,
2,25386,,,,,0.0132026,,,,,
3,26634,,,,,0.0132026,,,,,
4,27882,,,,,0.0060012,,,,,
5,29130,,,,,0.00410082,,,,,
6,30378,,,,,0.00170034,,,,,
7,31634,,,,,0.0005001,,,,,
8,32882,,,,,0.00020004,,,,,
0,22874,,,,,,,,,0.0132026,
0,127741,,,,,,,,,,0.0
