,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.0727438,,,,,,,,,
1,25034,0.030858,,,,,,,,,
2,37534,0.0225617,,,,,,,,,
3,50034,0.0154796,,,,,,,,,
4,62534,0.0118373,,,,,,,,,
5,75034,0.0092068,,,,,,,,,
6,87534,0.00779037,,,,,,,,,
7,100034,0.00607042,,,,,,,,,
0,52728,,0.990389,,,,,,,,
1,78997,,0.931404,,,,,,,,
2,105258,,0.776507,,,,,,,,
3,131524,,0.484217,,,,,,,,
4,157785,,0.20518,,,,,,,,
5,184046,,0.0600971,,,,,,,,
0,122563,,,0.00455281,,,,,,,
1,109636,,,0.0129502,,,,,,,
2,84615,,,0.0363213,,,,,,,
3,72754,,,0.0590854,,,,,,,
4,51612,,,0.113416,,,,,,,
5,35315,,,0.200223,,,,,,,
6,29663,,,0.247774,,,,,,,
7,23565,,,0.326791,,,,,,,
8,22592,,,0.344193,,,,,,,
9,22390,,,0.353399,,,,,,,
10,22390,,,0.353399,,,,,,,
0,22390,,,,0.353399,,,,,,
1,22390,,,,0.353399,,,,,,
2,22627,,,,0.350465,,,,,,
3,23269,,,,0.346418,,,,,,
4,24939,,,,0.336301,,,,,,
5,27895,,,,0.320316,,,,,,
6,32676,,,,0.300688,,,,,,
7,40165,,,,0.276103,,,,,,
8,50532,,,,0.24393,,,,,,
9,64470,,,,0.197794,,,,,,
10,80272,,,,0.150445,,,,,,
11,97042,,,,0.0969243,,,,,,
12,110753,,,,0.0519021,,,,,,
13,119849,,,,0.0224605,,,,,,
14,122563,,,,0.00455281,,,,,,
0,22751,,,,,0.349555,,,,,
0,83634,,,,,,0.0121408,,,,
1,80488,,,,,,0.0120397,,,,
2,78601,,,,,,0.0118373,,,,
3,77342,,,,,,0.0129502,,,,
4,76443,,,,,,0.0150749,,,,
5,75769,,,,,,0.013962,,,,
0,73424,,,,,,,0.0138608,,,
1,70278,,,,,,,0.0137596,,,
2,68391,,,,,,,0.0140631,,,
3,67132,,,,,,,0.0147713,,,
4,66233,,,,,,,0.0174019,,,
5,65559,,,,,,,0.0166936,,,
0,63215,,,,,,,,0.0178066,,
1,60069,,,,,,,,0.0186159,,
2,58182,,,,,,,,0.0193242,,
3,56923,,,,,,,,0.0194253,,
4,56024,,,,,,,,0.0225617,,
5,55350,,,,,,,,0.0216512,,
0,22751,,,,,0.349555,,,,,
1,24007,,,,,0.349555,,,,,
2,25255,,,,,0.347936,,,,,
3,26511,,,,,0.347936,,,,,
4,27759,,,,,0.256779,,,,,
5,29007,,,,,0.209126,,,,,
6,30255,,,,,0.187171,,,,,
7,31511,,,,,0.171995,,,,,
8,32759,,,,,0.165621,,,,,
0,22751,,,,,,,,,0.349555,
0,122636,,,,,,,,,,0.0053622
