,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.999165,,,,,,,,,
1,25034,0.954773,,,,,,,,,
2,37534,0.812411,,,,,,,,,
3,50034,0.669332,,,,,,,,,
4,62534,0.577685,,,,,,,,,
5,75034,0.543317,,,,,,,,,
6,87534,0.522912,,,,,,,,,
7,100034,0.514558,,,,,,,,,
0,57837,,0.109905,,,,,,,,
1,86695,,0.0137232,,,,,,,,
2,115537,,0.00202864,,,,,,,,
3,144389,,0.000119332,,,,,,,,
4,173228,,0.0,,,,,,,,
5,202085,,0.0,,,,,,,,
0,74817,,,0.0,,,,,,,
1,73179,,,0.134487,,,,,,,
2,69887,,,0.134487,,,,,,,
3,52251,,,0.511575,,,,,,,
4,48213,,,0.511575,,,,,,,
5,25648,,,0.842482,,,,,,,
6,19210,,,0.842482,,,,,,,
7,18253,,,0.842482,,,,,,,
8,17516,,,0.850358,,,,,,,
9,17510,,,0.850358,,,,,,,
10,17510,,,0.850358,,,,,,,
0,17510,,,,0.850358,,,,,,
1,17510,,,,0.850358,,,,,,
2,17510,,,,0.850358,,,,,,
3,17510,,,,0.850358,,,,,,
4,17510,,,,0.850358,,,,,,
5,17537,,,,0.849403,,,,,,
6,17631,,,,0.847375,,,,,,
7,18313,,,,0.834964,,,,,,
8,20664,,,,0.794988,,,,,,
9,30237,,,,0.630549,,,,,,
10,47045,,,,0.370286,,,,,,
11,62514,,,,0.153222,,,,,,
12,70827,,,,0.0494033,,,,,,
13,73861,,,,0.0107399,,,,,,
14,74702,,,,0.00119332,,,,,,
0,59685,,,,,0.134487,,,,,
0,60426,,,,,,0.528282,,,,
1,55844,,,,,,0.537589,,,,
2,53095,,,,,,0.54821,,,,
3,51262,,,,,,0.549523,,,,
4,49953,,,,,,0.561575,,,,
5,48971,,,,,,0.565752,,,,
0,55238,,,,,,,0.528282,,,
1,50656,,,,,,,0.537589,,,
2,47907,,,,,,,0.54821,,,
3,46074,,,,,,,0.549523,,,
4,44765,,,,,,,0.561575,,,
5,43783,,,,,,,0.565752,,,
0,50051,,,,,,,,0.528282,,
1,45469,,,,,,,,0.537589,,
2,42720,,,,,,,,0.54821,,
3,40887,,,,,,,,0.549523,,
4,39578,,,,,,,,0.561575,,
5,38596,,,,,,,,0.565752,,
0,59685,,,,,0.134487,,,,,
1,60949,,,,,0.134487,,,,,
2,62197,,,,,0.134487,,,,,
3,63445,,,,,0.134487,,,,,
4,64693,,,,,0.134487,,,,,
5,65949,,,,,0.134487,,,,,
6,67197,,,,,0.134487,,,,,
7,68445,,,,,0.134487,,,,,
8,69693,,,,,0.134487,,,,,
0,59685,,,,,,,,,0.134487,
0,74785,,,,,,,,,,0.0
