,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,1.0,,,,,,,,,
1,25034,0.997146,,,,,,,,,
2,37534,0.969236,,,,,,,,,
3,50034,0.903901,,,,,,,,,
4,62534,0.816048,,,,,,,,,
5,75034,0.730574,,,,,,,,,
6,87534,0.668252,,,,,,,,,
7,100034,0.602442,,,,,,,,,
0,54542,,0.598953,,,,,,,,
1,81733,,0.215826,,,,,,,,
2,108931,,0.0642245,,,,,,,,
3,136126,,0.0174437,,,,,,,,
4,163322,,0.00586743,,,,,,,,
5,190520,,0.00126863,,,,,,,,
0,127326,,,0.0,,,,,,,
1,114128,,,0.999683,,,,,,,
2,87746,,,0.999683,,,,,,,
3,71433,,,1.0,,,,,,,
4,46267,,,1.0,,,,,,,
5,28395,,,1.0,,,,,,,
6,24615,,,1.0,,,,,,,
7,22909,,,1.0,,,,,,,
8,22838,,,1.0,,,,,,,
9,22832,,,1.0,,,,,,,
10,22832,,,1.0,,,,,,,
0,22832,,,,1.0,,,,,,
1,22832,,,,1.0,,,,,,
2,22832,,,,1.0,,,,,,
3,22852,,,,0.998414,,,,,,
4,23006,,,,0.994767,,,,,,
5,23958,,,,0.976372,,,,,,
6,27125,,,,0.925151,,,,,,
7,37443,,,,0.792896,,,,,,
8,60013,,,,0.55027,,,,,,
9,91121,,,,0.287663,,,,,,
10,112859,,,,0.104504,,,,,,
11,123139,,,,0.0264827,,,,,,
12,126050,,,,0.00634317,,,,,,
13,126822,,,,0.000634317,,,,,,
14,127326,,,,0.0,,,,,,
0,22798,,,,,0.999683,,,,,
0,84961,,,,,,0.589914,,,,
1,81837,,,,,,0.608468,,,,
2,79962,,,,,,0.621313,,,,
3,78711,,,,,,0.642245,,,,
4,77818,,,,,,0.65287,,,,
5,77149,,,,,,0.665239,,,,
0,74519,,,,,,,0.589914,,,
1,71395,,,,,,,0.608468,,,
2,69520,,,,,,,0.621313,,,
3,68269,,,,,,,0.642245,,,
4,67376,,,,,,,0.65287,,,
5,66707,,,,,,,0.665239,,,
0,64077,,,,,,,,0.589914,,
1,60953,,,,,,,,0.608468,,
2,59078,,,,,,,,0.621313,,
3,57827,,,,,,,,0.642245,,
4,56934,,,,,,,,0.65287,,
5,56265,,,,,,,,0.665239,,
0,22798,,,,,0.999683,,,,,
1,24062,,,,,0.999683,,,,,
2,25310,,,,,0.999683,,,,,
3,26558,,,,,0.999683,,,,,
4,27806,,,,,0.999524,,,,,
5,29054,,,,,0.999524,,,,,
6,30302,,,,,0.999366,,,,,
7,31558,,,,,0.999366,,,,,
8,32806,,,,,0.999366,,,,,
0,22798,,,,,,,,,0.999683,
0,127294,,,,,,,,,,0.0
