,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,1.0,,,,,,,,,
1,25034,0.996892,,,,,,,,,
2,37534,0.969099,,,,,,,,,
3,50034,0.899982,,,,,,,,,
4,62534,0.82026,,,,,,,,,
5,75034,0.728652,,,,,,,,,
6,87534,0.663924,,,,,,,,,
7,100034,0.61876,,,,,,,,,
0,52729,,0.995429,,,,,,,,
1,78982,,0.971293,,,,,,,,
2,105251,,0.867252,,,,,,,,
3,131515,,0.554032,,,,,,,,
4,157773,,0.136588,,,,,,,,
5,184034,,0.0276102,,,,,,,,
0,122942,,,0.0,,,,,,,
1,110018,,,0.164747,,,,,,,
2,84993,,,0.447065,,,,,,,
3,73026,,,0.560066,,,,,,,
4,51864,,,0.748949,,,,,,,
5,35725,,,0.862681,,,,,,,
6,30076,,,0.890108,,,,,,,
7,23820,,,0.916072,,,,,,,
8,22828,,,0.917718,,,,,,,
9,22635,,,0.917901,,,,,,,
10,22635,,,0.917901,,,,,,,
0,22635,,,,0.917901,,,,,,
1,22635,,,,0.917901,,,,,,
2,22875,,,,0.914792,,,,,,
3,23503,,,,0.906199,,,,,,
4,25187,,,,0.886268,,,,,,
5,28074,,,,0.848236,,,,,,
6,33124,,,,0.788444,,,,,,
7,40822,,,,0.702871,,,,,,
8,51295,,,,0.598098,,,,,,
9,64672,,,,0.477967,,,,,,
10,79943,,,,0.341744,,,,,,
11,96350,,,,0.198208,,,,,,
12,110953,,,,0.0881331,,,,,,
13,120321,,,,0.0188334,,,,,,
14,122942,,,,0.0,,,,,,
0,23049,,,,,0.912781,,,,,
0,83861,,,,,,0.747852,,,,
1,80712,,,,,,0.745657,,,,
2,78822,,,,,,0.751874,,,,
3,77562,,,,,,0.755165,,,,
4,76662,,,,,,0.754617,,,,
5,75987,,,,,,0.758457,,,,
0,73619,,,,,,,0.811849,,,
1,70470,,,,,,,0.809654,,,
2,68580,,,,,,,0.815871,,,
3,67320,,,,,,,0.819163,,,
4,66420,,,,,,,0.818614,,,
5,65745,,,,,,,0.822454,,,
0,63377,,,,,,,,0.878771,,
1,60228,,,,,,,,0.876577,,
2,58338,,,,,,,,0.882794,,
3,57078,,,,,,,,0.886085,,
4,56178,,,,,,,,0.885537,,
5,55503,,,,,,,,0.889376,,
0,23049,,,,,0.912781,,,,,
1,24305,,,,,0.912781,,,,,
2,25553,,,,,0.910221,,,,,
3,26809,,,,,0.910221,,,,,
4,28057,,,,,0.865789,,,,,
5,29305,,,,,0.84659,,,,,
6,30561,,,,,0.832328,,,,,
7,31809,,,,,0.823551,,,,,
8,33057,,,,,0.819345,,,,,
0,23049,,,,,,,,,0.912781,
0,123000,,,,,,,,,,0.00109709
