,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,1.0,,,,,,,,,
1,25034,0.995539,,,,,,,,,
2,37534,0.965902,,,,,,,,,
3,50034,0.898821,,,,,,,,,
4,62534,0.804015,,,,,,,,,
5,75034,0.718611,,,,,,,,,
6,87534,0.657584,,,,,,,,,
7,100034,0.602932,,,,,,,,,
0,52729,,0.995379,,,,,,,,
1,78982,,0.971479,,,,,,,,
2,105251,,0.871256,,,,,,,,
3,131515,,0.59847,,,,,,,,
4,157773,,0.24044,,,,,,,,
5,184034,,0.0575207,,,,,,,,
0,122942,,,0.0,,,,,,,
1,110018,,,0.986934,,,,,,,
2,84993,,,0.990918,,,,,,,
3,73026,,,0.993786,,,,,,,
4,51864,,,0.993786,,,,,,,
5,35725,,,0.993786,,,,,,,
6,30076,,,0.993786,,,,,,,
7,23820,,,0.993786,,,,,,,
8,22828,,,0.993786,,,,,,,
9,22635,,,0.993786,,,,,,,
10,22635,,,0.993786,,,,,,,
0,22635,,,,0.993786,,,,,,
1,22635,,,,0.993786,,,,,,
2,22875,,,,0.975303,,,,,,
3,23503,,,,0.950765,,,,,,
4,25187,,,,0.905513,,,,,,
5,28074,,,,0.84608,,,,,,
6,33124,,,,0.769758,,,,,,
7,40822,,,,0.672721,,,,,,
8,51295,,,,0.561026,,,,,,
9,64672,,,,0.435468,,,,,,
10,79943,,,,0.304015,,,,,,
11,96350,,,,0.17782,,,,,,
12,110953,,,,0.0758445,,,,,,
13,120321,,,,0.015615,,,,,,
14,122942,,,,0.0,,,,,,
0,23049,,,,,0.987412,,,,,
0,83861,,,,,,0.590822,,,,
1,80712,,,,,,0.614085,,,,
2,78822,,,,,,0.621734,,,,
3,77562,,,,,,0.642766,,,,
4,76662,,,,,,0.663161,,,,
5,75987,,,,,,0.677502,,,,
0,73619,,,,,,,0.590822,,,
1,70470,,,,,,,0.614085,,,
2,68580,,,,,,,0.621734,,,
3,67320,,,,,,,0.642766,,,
4,66420,,,,,,,0.663161,,,
5,65745,,,,,,,0.677502,,,
0,63377,,,,,,,,0.590822,,
1,60228,,,,,,,,0.614085,,
2,58338,,,,,,,,0.621734,,
3,57078,,,,,,,,0.642766,,
4,56178,,,,,,,,0.663161,,
5,55503,,,,,,,,0.677502,,
0,23049,,,,,0.987412,,,,,
1,24305,,,,,0.987412,,,,,
2,25553,,,,,0.987412,,,,,
3,26809,,,,,0.987412,,,,,
4,28057,,,,,0.978171,,,,,
5,29305,,,,,0.973391,,,,,
6,30561,,,,,0.971001,,,,,
7,31809,,,,,0.969567,,,,,
8,33057,,,,,0.968929,,,,,
0,23049,,,,,,,,,0.987412,
0,123000,,,,,,,,,,0.00350542
