,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.0277028,,,,,,,,,
1,25034,0.00020002,,,,,,,,,
2,37534,0.0,,,,,,,,,
3,50034,0.0,,,,,,,,,
4,62534,0.0,,,,,,,,,
5,75034,0.0,,,,,,,,,
6,87534,0.0,,,,,,,,,
7,100034,0.0,,,,,,,,,
0,53382,,0.864286,,,,,,,,
1,79989,,0.515152,,,,,,,,
2,106595,,0.241224,,,,,,,,
3,133201,,0.0993099,,,,,,,,
4,159807,,0.0411041,,,,,,,,
5,186411,,0.0152015,,,,,,,,
0,170292,,,0.0,,,,,,,
1,157096,,,0.0,,,,,,,
2,130684,,,0.0,,,,,,,
3,117480,,,0.0,,,,,,,
4,91084,,,0.0,,,,,,,
5,64668,,,0.0,,,,,,,
6,51474,,,0.0,,,,,,,
7,25371,,,0.0219022,,,,,,,
8,17962,,,0.327033,,,,,,,
9,17962,,,0.327033,,,,,,,
10,17962,,,0.327033,,,,,,,
0,17962,,,,0.327033,,,,,,
1,17962,,,,0.327033,,,,,,
2,17962,,,,0.327033,,,,,,
3,17962,,,,0.327033,,,,,,
4,17962,,,,0.327033,,,,,,
5,17962,,,,0.327033,,,,,,
6,17962,,,,0.327033,,,,,,
7,17962,,,,0.327033,,,,,,
8,17962,,,,0.327033,,,,,,
9,17994,,,,0.327033,,,,,,
10,18086,,,,0.327033,,,,,,
11,20892,,,,0.327033,,,,,,
12,81424,,,,0.319232,,,,,,
13,170292,,,,0.0,,,,,,
14,170292,,,,0.0,,,,,,
0,17914,,,,,0.327033,,,,,
0,112397,,,,,,0.0,,,,
1,109273,,,,,,0.0,,,,
2,107398,,,,,,0.0,,,,
3,106147,,,,,,0.0,,,,
4,105254,,,,,,0.0,,,,
5,104585,,,,,,0.0,,,,
0,97626,,,,,,,0.0,,,
1,94502,,,,,,,0.0,,,
2,92627,,,,,,,0.0,,,
3,91376,,,,,,,0.0,,,
4,90483,,,,,,,0.0,,,
5,89814,,,,,,,0.0,,,
0,82854,,,,,,,,0.0,,
1,79730,,,,,,,,0.0,,
2,77855,,,,,,,,0.0,,
3,76604,,,,,,,,0.0,,
4,75711,,,,,,,,0.0,,
5,75042,,,,,,,,0.0,,
0,17914,,,,,0.327033,,,,,
1,19170,,,,,0.327033,,,,,
2,20418,,,,,0.327033,,,,,
3,21666,,,,,0.327033,,,,,
4,22914,,,,,0.168317,,,,,
5,24170,,,,,0.0883088,,,,,
6,25418,,,,,0.0480048,,,,,
7,26666,,,,,0.0243024,,,,,
8,27914,,,,,0.0144014,,,,,
0,17914,,,,,,,,,0.327033,
0,170260,,,,,,,,,,0.0
