,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.0063,,,,,,,,,,
1,25034,0.0001,,,,,,,,,,
2,37534,0.0,,,,,,,,,,
3,50034,0.0,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,55768,,0.6092,,,,,,,,,
1,83542,,0.0373,,,,,,,,,
2,111318,,0.004,,,,,,,,,
3,139088,,0.0011,,,,,,,,,
4,166890,,0.0002,,,,,,,,,
5,194654,,0.0001,,,,,,,,,
0,74735,,,0.0,,,,,,,,
1,73050,,,0.0,,,,,,,,
2,69704,,,0.0,,,,,,,,
3,51883,,,0.0,,,,,,,,
4,47802,,,0.0,,,,,,,,
5,26236,,,0.0,,,,,,,,
6,20011,,,0.0,,,,,,,,
7,19051,,,0.0,,,,,,,,
8,18423,,,0.0002,,,,,,,,
9,18417,,,0.0015,,,,,,,,
10,18417,,,0.0015,,,,,,,,
0,18417,,,,0.0015,,,,,,,
1,18417,,,,0.0015,,,,,,,
2,18417,,,,0.0015,,,,,,,
3,18417,,,,0.0015,,,,,,,
4,18420,,,,0.0015,,,,,,,
5,18443,,,,0.0015,,,,,,,
6,18536,,,,0.0015,,,,,,,
7,19107,,,,0.0015,,,,,,,
8,21539,,,,0.0015,,,,,,,
9,31454,,,,0.0015,,,,,,,
10,48240,,,,0.0015,,,,,,,
11,62779,,,,0.0015,,,,,,,
12,71002,,,,0.0015,,,,,,,
13,73848,,,,0.0015,,,,,,,
14,74619,,,,0.0013,,,,,,,
0,59269,,,,,0.0004,,,,,,
0,69244,,,,,,0.0,,,,,
1,64657,,,,,,0.0,,,,,
2,61905,,,,,,0.0,,,,,
3,60070,,,,,,0.0,,,,,
4,58759,,,,,,0.0,,,,,
5,57776,,,,,,0.0,,,,,
0,64066,,,,,,,0.0,,,,
1,59479,,,,,,,0.0,,,,
2,56727,,,,,,,0.0,,,,
3,54892,,,,,,,0.0,,,,
4,53581,,,,,,,0.0,,,,
5,52598,,,,,,,0.0,,,,
0,58888,,,,,,,,0.0003,,,
1,54301,,,,,,,,0.0003,,,
2,51549,,,,,,,,0.0003,,,
3,49714,,,,,,,,0.0003,,,
4,48403,,,,,,,,0.0003,,,
5,47420,,,,,,,,0.0003,,,
0,53710,,,,,,,,,0.0012,,
1,49123,,,,,,,,,0.0012,,
2,46371,,,,,,,,,0.0012,,
3,44536,,,,,,,,,0.0012,,
4,43225,,,,,,,,,0.0012,,
5,42242,,,,,,,,,0.0012,,
0,59269,,,,,0.0004,,,,,,
1,60533,,,,,0.0004,,,,,,
2,61781,,,,,0.0003,,,,,,
3,63029,,,,,0.0002,,,,,,
4,64277,,,,,0.0001,,,,,,
5,65533,,,,,0.0,,,,,,
6,66781,,,,,0.0,,,,,,
7,68029,,,,,0.0,,,,,,
8,69277,,,,,0.0,,,,,,
0,59269,,,,,,,,,,0.0004,
0,74703,,,,,,,,,,,0.0
