,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.675142,,,,,,,,,,
1,25034,0.466485,,,,,,,,,,
2,37534,0.257617,,,,,,,,,,
3,50034,0.113889,,,,,,,,,,
4,62534,0.0567346,,,,,,,,,,
5,75034,0.0203824,,,,,,,,,,
6,87534,0.00798487,,,,,,,,,,
7,100034,0.00588359,,,,,,,,,,
0,55768,,0.212229,,,,,,,,,
1,83542,,0.0489599,,,,,,,,,
2,111318,,0.0107165,,,,,,,,,
3,139088,,0.00336205,,,,,,,,,
4,166890,,0.000420256,,,,,,,,,
5,194654,,0.000210128,,,,,,,,,
0,74735,,,0.0,,,,,,,,
1,73050,,,0.40975,,,,,,,,
2,69704,,,0.40975,,,,,,,,
3,51883,,,0.663165,,,,,,,,
4,47802,,,0.663165,,,,,,,,
5,26236,,,0.751839,,,,,,,,
6,20011,,,0.804791,,,,,,,,
7,19051,,,0.840933,,,,,,,,
8,18423,,,0.845136,,,,,,,,
9,18417,,,0.845136,,,,,,,,
10,18417,,,0.845136,,,,,,,,
0,18417,,,,0.845136,,,,,,,
1,18417,,,,0.845136,,,,,,,
2,18417,,,,0.845136,,,,,,,
3,18417,,,,0.845136,,,,,,,
4,18420,,,,0.844715,,,,,,,
5,18443,,,,0.842824,,,,,,,
6,18536,,,,0.840303,,,,,,,
7,19107,,,,0.825804,,,,,,,
8,21539,,,,0.776003,,,,,,,
9,31454,,,,0.616936,,,,,,,
10,48240,,,,0.364152,,,,,,,
11,62779,,,,0.161589,,,,,,,
12,71002,,,,0.0338306,,,,,,,
13,73848,,,,0.0102963,,,,,,,
14,74619,,,,0.000840513,,,,,,,
0,59269,,,,,0.451776,,,,,,
0,69244,,,,,,0.0514814,,,,,
1,64657,,,,,,0.0579954,,,,,
2,61905,,,,,,0.0827905,,,,,
3,60070,,,,,,0.0951881,,,,,
4,58759,,,,,,0.0998109,,,,,
5,57776,,,,,,0.11452,,,,,
0,64066,,,,,,,0.0514814,,,,
1,59479,,,,,,,0.0579954,,,,
2,56727,,,,,,,0.0827905,,,,
3,54892,,,,,,,0.0951881,,,,
4,53581,,,,,,,0.0998109,,,,
5,52598,,,,,,,0.11452,,,,
0,58888,,,,,,,,0.0514814,,,
1,54301,,,,,,,,0.0579954,,,
2,51549,,,,,,,,0.0827905,,,
3,49714,,,,,,,,0.0951881,,,
4,48403,,,,,,,,0.0998109,,,
5,47420,,,,,,,,0.11452,,,
0,53710,,,,,,,,,0.0514814,,
1,49123,,,,,,,,,0.0579954,,
2,46371,,,,,,,,,0.0827905,,
3,44536,,,,,,,,,0.0951881,,
4,43225,,,,,,,,,0.0998109,,
5,42242,,,,,,,,,0.11452,,
0,59269,,,,,0.451776,,,,,,
1,60533,,,,,0.451776,,,,,,
2,61781,,,,,0.440008,,,,,,
3,63029,,,,,0.434125,,,,,,
4,64277,,,,,0.427401,,,,,,
5,65533,,,,,0.42656,,,,,,
6,66781,,,,,0.424879,,,,,,
7,68029,,,,,0.424879,,,,,,
8,69277,,,,,0.424879,,,,,,
0,59269,,,,,,,,,,0.451776,
0,74703,,,,,,,,,,,0.0
