,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.991587,,,,,,,,,,
1,25034,0.926832,,,,,,,,,,
2,37534,0.796214,,,,,,,,,,
3,50034,0.657073,,,,,,,,,,
4,62534,0.493248,,,,,,,,,,
5,75034,0.367943,,,,,,,,,,
6,87534,0.27629,,,,,,,,,,
7,100034,0.208213,,,,,,,,,,
0,52471,,0.986274,,,,,,,,,
1,78599,,0.93458,,,,,,,,,
2,104727,,0.822559,,,,,,,,,
3,130862,,0.635045,,,,,,,,,
4,156993,,0.359641,,,,,,,,,
5,183122,,0.14534,,,,,,,,,
0,149837,,,0.0,,,,,,,,
1,136652,,,0.146557,,,,,,,,
2,110388,,,0.406686,,,,,,,,
3,97394,,,0.513283,,,,,,,,
4,72179,,,0.693048,,,,,,,,
5,49483,,,0.829865,,,,,,,,
6,40068,,,0.870489,,,,,,,,
7,27386,,,0.911667,,,,,,,,
8,24621,,,0.918198,,,,,,,,
9,23660,,,0.919748,,,,,,,,
10,23660,,,0.919748,,,,,,,,
0,23660,,,,0.919748,,,,,,,
1,23660,,,,0.919748,,,,,,,
2,23682,,,,0.919637,,,,,,,
3,23788,,,,0.91853,,,,,,,
4,24148,,,,0.914324,,,,,,,
5,24929,,,,0.90735,,,,,,,
6,26676,,,,0.888864,,,,,,,
7,30212,,,,0.856653,,,,,,,
8,37322,,,,0.796989,,,,,,,
9,48594,,,,0.705889,,,,,,,
10,66117,,,,0.569515,,,,,,,
11,88853,,,,0.402701,,,,,,,
12,115708,,,,0.21884,,,,,,,
13,137320,,,,0.0784813,,,,,,,
14,149837,,,,0.0,,,,,,,
0,23630,,,,,0.919526,,,,,,
0,113016,,,,,,0.220168,,,,,
1,109889,,,,,,0.221275,,,,,
2,108014,,,,,,0.222161,,,,,
3,106763,,,,,,0.223268,,,,,
4,105869,,,,,,0.223378,,,,,
5,105200,,,,,,0.225592,,,,,
0,100526,,,,,,,0.322559,,,,
1,97399,,,,,,,0.323666,,,,
2,95524,,,,,,,0.324552,,,,
3,94273,,,,,,,0.325659,,,,
4,93379,,,,,,,0.325769,,,,
5,92710,,,,,,,0.327983,,,,
0,88036,,,,,,,,0.484724,,,
1,84909,,,,,,,,0.485831,,,
2,83034,,,,,,,,0.486717,,,
3,81783,,,,,,,,0.487824,,,
4,80889,,,,,,,,0.487934,,,
5,80220,,,,,,,,0.490148,,,
0,75545,,,,,,,,,0.654085,,
1,72418,,,,,,,,,0.655191,,
2,70543,,,,,,,,,0.656077,,
3,69292,,,,,,,,,0.657184,,
4,68398,,,,,,,,,0.657295,,
5,67729,,,,,,,,,0.659509,,
0,23630,,,,,0.919526,,,,,,
1,24886,,,,,0.919526,,,,,,
2,26134,,,,,0.89451,,,,,,
3,27390,,,,,0.878791,,,,,,
4,28638,,,,,0.871596,,,,,,
5,29886,,,,,0.867058,,,,,,
6,31142,,,,,0.864733,,,,,,
7,32390,,,,,0.863737,,,,,,
8,33638,,,,,0.863405,,,,,,
0,23630,,,,,,,,,,0.919526,
0,149808,,,,,,,,,,,0.0
