,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.996934,,,,,,,,,,
1,25034,0.959091,,,,,,,,,,
2,37534,0.879598,,,,,,,,,,
3,50034,0.762051,,,,,,,,,,
4,62534,0.646934,,,,,,,,,,
5,75034,0.515011,,,,,,,,,,
6,87534,0.418922,,,,,,,,,,
7,100034,0.307505,,,,,,,,,,
0,52378,,0.968393,,,,,,,,,
1,78486,,0.903383,,,,,,,,,
2,104523,,0.808457,,,,,,,,,
3,130635,,0.687104,,,,,,,,,
4,156746,,0.553805,,,,,,,,,
5,182854,,0.411839,,,,,,,,,
0,178160,,,0.0,,,,,,,,
1,164948,,,0.141121,,,,,,,,
2,138548,,,0.384355,,,,,,,,
3,125348,,,0.492072,,,,,,,,
4,98936,,,0.671987,,,,,,,,
5,72536,,,0.81723,,,,,,,,
6,59320,,,0.876004,,,,,,,,
7,32922,,,0.959302,,,,,,,,
8,19902,,,0.985729,,,,,,,,
9,16267,,,0.989641,,,,,,,,
10,16267,,,0.989641,,,,,,,,
0,16267,,,,0.989641,,,,,,,
1,16267,,,,0.989641,,,,,,,
2,16267,,,,0.989641,,,,,,,
3,16267,,,,0.989641,,,,,,,
4,16267,,,,0.989641,,,,,,,
5,16267,,,,0.989641,,,,,,,
6,16267,,,,0.989641,,,,,,,
7,16267,,,,0.989641,,,,,,,
8,16267,,,,0.989641,,,,,,,
9,16267,,,,0.989641,,,,,,,
10,16267,,,,0.989641,,,,,,,
11,16291,,,,0.989429,,,,,,,
12,18237,,,,0.97611,,,,,,,
13,130869,,,,0.27537,,,,,,,
14,178160,,,,0.0,,,,,,,
0,16219,,,,,0.989641,,,,,,
0,136573,,,,,,0.212474,,,,,
1,133449,,,,,,0.214059,,,,,
2,131574,,,,,,0.213636,,,,,
3,130323,,,,,,0.215011,,,,,
4,129430,,,,,,0.215116,,,,,
5,128761,,,,,,0.215962,,,,,
0,120869,,,,,,,0.315116,,,,
1,117745,,,,,,,0.316702,,,,
2,115870,,,,,,,0.316279,,,,
3,114619,,,,,,,0.317653,,,,
4,113726,,,,,,,0.317759,,,,
5,113057,,,,,,,0.318605,,,,
0,105165,,,,,,,,0.471987,,,
1,102041,,,,,,,,0.473573,,,
2,100166,,,,,,,,0.47315,,,
3,98915,,,,,,,,0.474524,,,
4,98022,,,,,,,,0.47463,,,
5,97353,,,,,,,,0.475476,,,
0,89461,,,,,,,,,0.659514,,
1,86337,,,,,,,,,0.661099,,
2,84462,,,,,,,,,0.660677,,
3,83211,,,,,,,,,0.662051,,
4,82318,,,,,,,,,0.662156,,
5,81649,,,,,,,,,0.663002,,
0,16219,,,,,0.989641,,,,,,
1,17483,,,,,0.989641,,,,,,
2,18731,,,,,0.979175,,,,,,
3,19979,,,,,0.973467,,,,,,
4,21227,,,,,0.970085,,,,,,
5,22483,,,,,0.968499,,,,,,
6,23731,,,,,0.967653,,,,,,
7,24979,,,,,0.96649,,,,,,
8,26227,,,,,0.966068,,,,,,
0,16219,,,,,,,,,,0.989641,
0,178128,,,,,,,,,,,0.0
